3052-2017-07-16_Fete_Romande2-ST

o;6;47.0;Dousse Michel;**;6;56.75;7;46.75;1;-0.25;8.5

10k;Hofer Sven;*;;;;;;;;;55.5
-;;;Barras André;*;;;;;;;8.75
+;4;8.75;Von Niederhäusern Martin;;15;54.25;2;9.75;-2;1.0;10.0
o;5;18.75;Emonet Frédéric;*;6;56.75;7;18.25;2;-0.5;8.5
+;8;27.25;Erb Vincent (1999);;12;55.0;5;28.0;-3;0.75;9.75
+;7;37.0;Emonet Fabien;**;9;55.75;6;37.25;-1;0.25;10.0
o;6;47.0;Matthey Mickaël;**;3;57.5;4;47.5;-2;0.5;8.5

10l;Zenger Niklaus;***;;;;;;;;;55.5
-;;;Moser Steven;**;;;;;;;8.75
+;4;8.75;Brodard Augustin;**;10;55.5;2;9.75;-2;1.0;9.75
o;6;18.5;Schmid David;***;7;56.5;6;18.5;0;0.0;8.75
+;8;27.25;Zosso Remo;**;10;55.5;3;28.5;-5;1.25;10.0
o;6;37.25;Haenni Stéphane;**;6;56.75;2;38.5;-4;1.25;8.5
+;11;45.75;Barras David;*;10;55.5;7;46.75;-4;1.0;9.75

10m;Zosso Remo;**;;;;;;;;;55.5
+;;;Haldi Sami;*;;;;;;;10.0
o;1;10.0;Zwyssig Raphael;***;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Rapin Florent;;11;55.25;7;18.25;1;-0.25;10.0
o;3;28.5;Zenger Niklaus;***;10;55.5;8;27.25;5;-1.25;8.5
+;7;37.0;Ambresin Cyril (1999);;7;56.5;4;38.0;-3;1.0;9.75
-;7;46.75;Brodard Augustin;**;10;55.5;7;46.75;0;0.0;8.75

10n;Brodard Augustin;**;;;;;;;;;55.5
+;;;Lerch Jimmy;*;;;;;;;9.75
o;2;9.75;Zenger Niklaus;***;10;55.5;4;8.75;2;-1.0;8.75
+;6;18.5;Parvex Yannick;;11;55.25;2;19.75;-4;1.25;9.75
+;4;28.25;Balimann Fabian;;11;55.25;4;28.25;0;0.0;10.0
o;3;38.25;Moser Steven;**;5;57.0;6;37.25;3;-1.0;8.5
-;7;46.75;Zosso Remo;**;10;55.5;7;46.75;0;0.0;8.75

10o;Roch Vincent;**;;;;;;;;;55.5
o;;;Kämpf Bernhard;***;;;;;;;8.5
o;5;8.5;Minder Florian;*;7;56.5;2;9.75;-3;1.25;8.75
+;9;17.25;Pellet Adrian;;13;54.75;3;19.5;-6;2.25;10.0
+;8;27.25;Kyburz Silas;;10;55.5;3;28.5;-5;1.25;9.75
+;7;37.0;Derron Julien;*;10;55.5;7;37.0;0;0.0;10.0
o;6;47.0;Schmid David;***;7;56.5;7;46.75;1;-0.25;8.5

10p;Ducry Antoine;*;;;;;;;;;55.5
+;;;Schöpfer Dio;**;;;;;;;10.0
o;1;10.0;Piemontesi Pascal;**;4;57.25;4;8.75;3;-1.25;8.5
-;6;18.5;Colò Kilian (1999);;9;55.75;6;18.5;0;0.0;8.75
+;8;27.25;Maridor Loïc;;8;56.0;5;28.0;-3;0.75;10.0
+;6;37.25;Kyburz Silas;;10;55.5;7;37.0;1;-0.25;9.75
o;6;47.0;Dind Samuel;**;2;57.75;3;48.0;-3;1.0;8.5

10q;Riedo Fredy;*;;;;;;;;;55.5
+;;;Derron Julien;*;;;;;;;10.0
o;1;10.0;Haenni Stéphane;**;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Crausaz Simon;;10;55.5;6;18.5;0;0.0;10.0
o;3;28.5;Piemontesi Pascal;**;4;57.25;2;28.75;-1;0.25;8.5
+;7;37.0;Cotting Florian;;11;55.25;7;37.0;0;0.0;10.0
o;6;47.0;Duplan Steve;**;6;56.75;7;46.75;1;-0.25;8.5

10r;Hayoz Quentin;;;;;;;;;;55.5
+;;;Mollet Adrian;;;;;;;;10.0
o;1;10.0;Brodard Simon;**;10;55.5;4;8.75;3;-1.25;8.5
o;6;18.5;Wieland Janis;*;11;55.25;10;17.0;4;-1.5;8.5
+;9;27.0;Hochuli Samuel;;16;54.0;9;27.0;0;0.0;10.0
+;7;37.0;Derron Cédric;*;10;55.5;7;37.0;0;0.0;10.0
o;6;47.0;Kramer Lario;**;5;57.0;6;47.0;0;0.0;8.5

10s;Barras André;*;;;;;;;;;55.5
-;;;Hofer Sven;*;;;;;;;8.75
+;4;8.75;Fankhauser Hans (2001);;16;54.0;1;10.0;-3;1.25;10.0
o;5;18.75;Kämpf Bernhard;***;1;58.25;5;18.75;0;0.0;8.5
+;8;27.25;Balimann Sandro (2001);;11;55.25;5;28.0;-3;0.75;10.0
+;6;37.25;Loup Alexandre;*;10;55.5;7;37.0;1;-0.25;9.75
o;6;47.0;Piemontesi Pascal;**;4;57.25;5;47.25;-1;0.25;8.5

10t;Derron Cédric;*;;;;;;;;;55.5
+;;;Loup Alexandre;*;;;;;;;10.0
o;1;10.0;Dind Samuel;**;2;57.75;5;8.5;4;-1.5;8.5
+;6;18.5;Erb Vincent (1999);;12;55.0;3;19.5;-3;1.0;10.0
o;3;28.5;Bieri Christoph;***;4;57.25;3;28.5;0;0.0;8.5
o;7;37.0;Hayoz Quentin;;10;55.5;7;37.0;0;0.0;8.5
+;12;45.5;Parvex Yannick;;11;55.25;7;46.75;-5;1.25;10.0

11a;Vaucher Rémy (1999);;;;;;;;;;55.25
+;;;Hochuli Samuel;;;;;;;;9.75
-;2;9.75;Wieland Micha;;11;55.25;2;9.75;0;0.0;8.75
o;6;18.5;Matthey Mickaël;**;3;57.5;4;19.0;-2;0.5;8.5
o;9;27.0;Cressier Gaetan;;11;55.25;9;27.0;0;0.0;8.5
+;12;35.5;Schneiter Jérémy;;16;54.0;12;35.5;0;0.0;10.0
+;12;45.5;Ruch Florian;;16;54.0;12;45.5;0;0.0;9.75

11b;Rapin Florent;;;;;;;;;;55.25
+;;;Colò Kilian (1999);;;;;;;;9.75
o;2;9.75;Mollet Ivan;*;10;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Zosso Remo;**;10;55.5;6;18.5;-1;0.25;8.5
+;10;26.75;Aeschbacher Ivo (2001);;21;52.5;9;27.0;-1;0.25;10.0
-;8;36.75;Balimann Sandro (2001);;11;55.25;8;36.75;0;0.0;8.75
+;12;45.5;Quiot Didier;;21;52.5;17;44.0;5;-1.5;9.75

11c;Gottofrey Luc;*;;;;;;;;;55.25
o;;;Mosimann Vincent;*;;;;;;;8.5
o;5;8.5;Cotting Florian;;11;55.25;1;10.0;-4;1.5;8.5
+;10;17.0;Aeschbacher Ivo (2001);;21;52.5;6;18.5;-4;1.5;10.0
+;9;27.0;Remy André (2001);;21;52.5;9;27.0;0;0.0;10.0
o;7;37.0;Barras David;*;10;55.5;7;37.0;0;0.0;8.5
+;12;45.5;Cotting Alexandre;;13;54.75;9;46.25;-3;0.75;9.75

11d;Balimann Fabian;;;;;;;;;;55.25
+;;;Von Niederhäusern Marcel;;;;;;;;10.0
o;1;10.0;Crettaz Olivier;*;26;27.0;5;8.5;4;-1.5;8.5
+;6;18.5;Mollet Adrian;;25;27.5;5;18.75;-1;0.25;9.75
o;4;28.25;Brodard Augustin;**;10;55.5;4;28.25;0;0.0;8.5
+;8;36.75;Torche Bastian;;17;53.75;8;36.75;0;0.0;10.0
o;7;46.75;Minder Florian;*;7;56.5;7;46.75;0;0.0;8.5

11e;Curty Alexandre;;;;;;;;;;55.25
o;;;Erb Vincent (1999);;;;;;;;8.5
+;5;8.5;Fercher Alain;;21;52.5;5;8.5;0;0.0;10.0
+;6;18.5;Ganière William;;19;53.0;8;17.5;2;-1.0;9.75
o;4;28.25;Dousse Michel;**;6;56.75;4;28.25;0;0.0;8.5
o;8;36.75;Stübe Mario;;12;55.0;9;36.5;1;-0.25;8.5
+;13;45.25;Pürro Tobias;;18;53.5;14;45.0;1;-0.25;10.0

11f;Parvex Yannick;;;;;;;;;;55.25
+;;;Crausaz Simon;;;;;;;;10.0
+;1;10.0;Wieland Janis;*;11;55.25;5;8.5;4;-1.5;9.75
