5141-2022-05-29_107_St_Galler_Kantonalschwingfest-ST

1a;Koller Silvan;*;;;;;;;;;108.75
-;;;Wittenwiler Mathias;;;;;;;;8.75
+;5;8.75;Amrhein Patrick (2006);;31;34.25;5;8.75;0;0.0;9.75
o;7;18.5;Heierli Pascal;**;8;56.75;7;18.5;0;0.0;8.5
-;11;27.0;Scherrer Willi;;18;54.25;11;27.0;0;0.0;8.75

27a;Hangartner Maurice;;;;;;;;;;35.5
o;;;Giger Lorenz;;;;;;;;8.5
+;6;8.5;Rickenmann Ramon;;28;35.25;6;8.5;0;0.0;10.0
o;7;18.5;Schmid Dominik;**;7;57.0;7;18.5;0;0.0;8.5
o;11;27.0;Martin Tobias;;13;55.5;11;27.0;0;0.0;8.5

27b;Keller Dominic;;;;;;;;;;35.5
+;;;Scherrer Willi;;;;;;;;9.75
o;3;9.75;Baumgartner Ramon;**;11;56.0;5;8.75;2;-1.0;8.5
-;8;18.25;Schmid Gian;;12;55.75;7;18.5;-1;0.25;8.75
o;11;27.0;Koller Silvan;;1;108.75;1;53.25;-10;26.25;8.5

28a;Furrer Damian;;;;;;;;;;35.25
+;;;Widmer Fadri (2005);;;;;;;;9.75
o;3;9.75;Bleiker Ueli (2004);;8;56.75;3;9.75;0;0.0;8.5
o;8;18.25;Lenherr Jonas (2005);;12;55.75;7;18.5;-1;0.25;8.5
o;12;26.75;Wild Thomas;*;13;55.5;11;27.0;-1;0.25;8.5

28b;Knellwolf Sebastian;;;;;;;;;;35.25
+;;;Rickenmann Ramon;;;;;;;;9.75
o;3;9.75;Fausch Kjetil;*;13;55.5;5;8.75;2;-1.0;8.5
o;8;18.25;Schegg Daniel;;15;55.0;8;18.25;0;0.0;8.5
o;12;26.75;Widmer Fadri (2005);;14;55.25;12;26.75;0;0.0;8.5

28c;Meier Adrian (2005);;;;;;;;;;35.25
o;;;Stadelmann Patrick;;;;;;;;8.5
o;6;8.5;Lenherr Cédric;*;6;57.25;6;8.5;0;0.0;8.5
o;12;17.0;Egli Joel;;20;53.75;12;17.0;0;0.0;8.5
+;16;25.5;Ackermann Jan (2006);;31;34.25;15;25.75;-1;0.25;9.75

28d;Widmer Patrick (2005);;;;;;;;;;35.25
o;;;Tschumper Elias (2005);;;;;;;;8.5
o;6;8.5;Gähwiler Joshua (2004);;19;54.0;6;8.5;0;0.0;8.5
o;12;17.0;Krucker Silvan;;21;53.5;12;17.0;0;0.0;8.5
+;16;25.5;Nadig Florian (2006);;32;34.0;16;25.5;0;0.0;9.75

28e;Rickenmann Ramon;;;;;;;;;;35.25
o;;;Knellwolf Sebastian;;;;;;;;8.5
o;6;8.5;Hangartner Maurice;;27;35.5;6;8.5;0;0.0;8.5
o;12;17.0;Flütsch Marco;;14;55.25;11;17.25;-1;0.25;8.5
+;16;25.5;Inauen Ivo;;32;34.0;16;25.5;0;0.0;9.75

28f;Fallegger Marc;;;;;;;;;;35.25
+;;;Höpli Remo;;;;;;;;9.75
o;3;9.75;Jörger Marc;*;7;57.0;6;8.5;3;-1.25;8.5
o;8;18.25;Eisenring Leandro;;23;53.0;10;17.5;2;-0.75;8.5
o;12;26.75;Knup Stephan;;20;53.75;11;27.0;-1;0.25;8.5

28g;Bossert Luc (2006);;;;;;;;;;35.25
+;;;Amrhein Patrick (2006);;;;;;;;9.75
o;3;9.75;Gerig Marcel;;13;55.5;2;10.0;-1;0.25;8.5
o;8;18.25;Egli Patrick;;16;54.75;8;18.25;0;0.0;8.5
o;12;26.75;Scherrer Pascal;;16;54.75;12;26.75;0;0.0;8.5

28h;Aepli Finn (2006);;;;;;;;;;35.25
o;;;Weder Yanick;;;;;;;;8.5
o;6;8.5;Ritter Sirin (2005);;21;53.5;6;8.5;0;0.0;8.5
+;12;17.0;Haltinner Laurin (2006);;31;34.25;12;17.0;0;0.0;9.75
o;12;26.75;Dörig Maurus (2004);;20;53.75;12;26.75;0;0.0;8.5

28i;Kaiser David (2006);;;;;;;;;;35.25
o;;;Ochsner Reto;;;;;;;;8.5
o;6;8.5;Giger Florian;;13;55.5;6;8.5;0;0.0;8.5
+;12;17.0;Inauen Ivo;;32;34.0;12;17.0;0;0.0;9.75
o;12;26.75;Koller Silvan;*;1;108.75;1;53.25;-11;26.5;8.5

28j;Lusti Adrian;;;;;;;;;;35.25
+;;;Dähler Luca (2006);;;;;;;;9.75
o;3;9.75;Gerber Andrj;*;17;54.5;6;8.5;3;-1.25;8.5
o;8;18.25;Raymann Jan;;16;54.75;8;18.25;0;0.0;8.5
o;12;26.75;Lötscher Niklas (2006);;19;54.0;11;27.0;-1;0.25;8.5

28k;Wenger Dominic;;;;;;;;;;35.25
+;;;Ackermann Jan (2006);;;;;;;;9.75
o;3;9.75;Gasenzer Christian (2004);;18;54.25;3;9.75;0;0.0;8.5
o;8;18.25;Höpli Remo;;20;53.75;8;18.25;0;0.0;8.5
o;12;26.75;Egli Joel;;20;53.75;12;26.75;0;0.0;8.5

29a;Wittenwiler Mathias;;;;;;;;;;35.0
-;;;Zollinger Silvan (2004);;;;;;;;8.75
-;5;8.75;Siegenthaler Joël;;17;54.5;2;10.0;-3;1.25;9.0
o;9;17.75;Signer Walter;;17;54.5;10;17.5;1;-0.25;8.5
o;13;26.25;Schiess Daniel;;19;54.0;12;26.75;-1;0.5;8.75

30a;Schäli Dario (2005);;;;;;;;;;34.5
-;;;Malnati Silas (2006);;;;;;;;8.75
o;5;8.75;Steiner Lukas;;16;54.75;4;9.0;-1;0.25;8.5
o;11;17.25;Brülisauer Thomas;;24;52.75;12;17.0;1;-0.25;8.5
-;15;25.75;Haltinner Laurin (2006);;31;34.25;16;25.5;1;-0.25;8.75

30b;Malnati Silas (2006);;;;;;;;;;34.5
-;;;Schäli Dario (2005);;;;;;;;9.0
o;4;9.0;Müller Josias (2006);;13;55.5;5;8.75;1;-0.25;8.5
o;10;17.5;Müller Jano (2005);;17;54.5;11;17.25;1;-0.25;8.5
o;14;26.0;Feller Andrin (2006);;24;52.75;15;25.75;1;-0.25;8.5

31a;Haltinner Laurin (2006);;;;;;;;;;34.25
o;;;Aepli Dean (2005);;;;;;;;8.5
o;6;8.5;Scherrer Pascal;;16;54.75;6;8.5;0;0.0;8.5
o;12;17.0;Aepli Finn (2006);;28;35.25;12;17.0;0;0.0;8.5
-;16;25.5;Schäli Dario (2005);;30;34.5;15;25.75;-1;0.25;8.75

31b;Amrhein Patrick (2006);;;;;;;;;;34.25
o;;;Bossert Luc (2006);;;;;;;;8.75
o;5;8.75;Zollinger Silvan (2004);;26;35.75;5;8.75;0;0.0;8.5
o;11;17.25;Manser Adrian;;20;53.75;12;17.0;1;-0.25;8.5
o;15;25.75;Bürge Gian (2005);;19;54.0;15;25.75;0;0.0;8.5

31c;Ackermann Jan (2006);;;;;;;;;;34.25
o;;;Wenger Dominic;;;;;;;;8.5
-;6;8.5;Stolz Jonas (2006);;19;54.0;6;8.5;0;0.0;8.75
o;11;17.25;Brand Andreas;;20;53.75;12;17.0;1;-0.25;8.5
o;15;25.75;Meier Adrian (2005);;28;35.25;16;25.5;1;-0.25;8.5

32a;Krucker Roman (2004);;;;;;;;;;34.0
o;;;Albrecht Quirin (2006);;;;;;;;8.5
o;6;8.5;Knup Stephan;;20;53.75;6;8.5;0;0.0;8.5
o;12;17.0;Dörig Maurus (2004);;20;53.75;12;17.0;0;0.0;8.5
o;16;25.5;Ritter Sirin (2005);;21;53.5;12;26.75;-4;1.25;8.5

32b;Inauen Ivo;;;;;;;;;;34.0
o;;;Niederer Andreas;;;;;;;;8.5
o;6;8.5;Wildhaber Jannik;;16;54.75;6;8.5;0;0.0;8.5
o;12;17.0;Kaiser David (2006);;28;35.25;12;17.0;0;0.0;8.5
o;16;25.5;Rickenmann Ramon;;28;35.25;16;25.5;0;0.0;8.5

32c;Bakr Deliar (2006);;;;;;;;;;34.0
o;;;Baumann Simon;;;;;;;;8.5
o;6;8.5;Rüger Damian;;18;54.25;6;8.5;0;0.0;8.5
o;12;17.0;Mathis Marlon (2006);;20;53.75;12;17.0;0;0.0;8.5
o;16;25.5;Stolz Jonas (2006);;19;54.0;15;25.75;-1;0.25;8.5

32d;Nadig Florian (2006);;;;;;;;;;34.0
o;;;Stadelmann Lukas (2004);;;;;;;;8.5
o;6;8.5;Zumstein Silvan;;25;52.5;6;8.5;0;0.0;8.5
o;12;17.0;Seliner Bruno (2004);;14;55.25;12;17.0;0;0.0;8.5
o;16;25.5;Widmer Patrick (2005);;28;35.25;16;25.5;0;0.0;8.5

32e;Dähler Luca (2006);;;;;;;;;;34.0
o;;;Lusti Adrian;;;;;;;;8.5
o;6;8.5;Nussbaumer Gabriel;;19;54.0;6;8.5;0;0.0;8.5
o;12;17.0;Mösli Timo (2006);;25;52.5;12;17.0;0;0.0;8.5
o;16;25.5;Dobler Martin;;17;54.5;14;26.0;-2;0.5;8.5

32f;Meier Adrian;;;;;;;;;;34.0
o;;;Signer Sandro (2006);;;;;;;;8.5
o;6;8.5;Walser Simon (2004);;14;55.25;6;8.5;0;0.0;8.5
o;12;17.0;Graf Dominik (2005);;18;54.25;12;17.0;0;0.0;8.5
o;16;25.5;Fritz Andreas;;18;54.25;15;25.75;-1;0.25;8.5

