4449-2019-05-05_100_Zuger_Kantonales_Schwingfest-ST

1a;Reichmuth Pirmin;***;;;;;;;;;59.75
14c;Ming Christian;*;;;;;;;;;54.75
o;;;Bucher Roland;*;;;;;;;8.75
-;4;8.75;Gwerder Carlo;**;25;35.0;5;8.5;1;-0.25;9.0
-;9;17.75;Betschart Daniel;;15;54.5;5;18.75;-4;1.0;8.75
+;13;26.5;Brun Christian;;23;35.5;11;27.0;-2;0.5;9.75
+;13;36.25;Gisler Noah (2002);;17;54.0;11;36.75;-2;0.5;10.0
o;11;46.25;Heiniger Marco;*;7;56.5;10;46.5;-1;0.25;8.5

14d;Ulrich Pascal;;;;;;;;;;54.75
+;;;Nussbaumer Mirco (2003);;;;;;;;10.0
-;1;10.0;Hürlimann Ueli (2001);;17;54.0;2;9.75;1;-0.25;8.75
o;5;18.75;Bucher Roland;*;11;55.5;6;18.5;1;-0.25;8.75
+;9;27.5;Wallimann Remo;;9;56.0;9;27.5;0;0.0;10.0
o;8;37.5;Lustenberger Marc (2003);;11;55.5;9;37.25;1;-0.25;8.5
o;12;46.0;Achermann Christoph;*;10;55.75;13;45.75;1;-0.25;8.75

15a;Betschart Daniel;;;;;;;;;;54.5
-;;;Durrer Ueli;;;;;;;;8.75
+;4;8.75;Andermatt Adrian;;16;54.25;4;8.75;0;0.0;10.0
-;5;18.75;Ming Christian;*;14;54.75;9;17.75;4;-1.0;8.75
+;9;27.5;Mehr Lars (2002);;20;53.25;10;27.25;1;-0.25;10.0
o;8;37.5;Suppiger Werner;**;2;57.75;7;37.75;-1;0.25;8.5
o;12;46.0;Leuthard Reto;**;10;55.75;12;46.0;0;0.0;8.5

15b;Waser Reto;*;;;;;;;;;54.5
+;;;Betschart Marcel;*;;;;;;;10.0
o;1;10.0;Klausner Yanick;**;7;56.5;4;8.75;3;-1.25;8.5
-;6;18.5;Schärli Reto;;9;56.0;5;18.75;-1;0.25;8.75
o;10;27.25;Scherrer Fabian (2002);;12;55.25;6;28.25;-4;1.0;8.5
-;15;35.75;Gassmann Michael;*;12;55.25;12;36.5;-3;0.75;8.75
+;18;44.5;Mehr Lars (2002);;20;53.25;17;44.75;-1;0.25;10.0

15c;Vogel Marcel;;;;;;;;;;54.5
o;;;Bucher Thomas;;;;;;;;8.5
+;5;8.5;Dittli Mathias (2002);;23;35.5;4;8.75;-1;0.25;10.0
o;6;18.5;Hess Michael;*;13;55.0;9;17.75;3;-0.75;8.5
+;11;27.0;Gabriel Christian;;23;35.5;11;27.0;0;0.0;10.0
-;10;37.0;Bucher Roland;*;11;55.5;10;37.0;0;0.0;8.75
-;13;45.75;Moos Christoph;*;16;54.25;14;45.5;1;-0.25;8.75

15d;Rust Sandro;;;;;;;;;;54.5
o;;;Ulrich Damian;;;;;;;;8.5
o;5;8.5;Kempf David;;20;53.25;1;10.0;-4;1.5;8.5
+;12;17.0;Baumgartner Matthias (2003);;28;34.0;12;17.0;0;0.0;10.0
-;11;27.0;Gabriel Simon (2002);;18;53.75;9;27.5;-2;0.5;9.0
o;14;36.0;Andermatt Adrian;;16;54.25;14;36.0;0;0.0;8.5
+;18;44.5;Gisler Silvan (2002);;22;52.75;19;44.25;1;-0.25;10.0

15e;Odermatt Lars (2002);;;;;;;;;;54.5
o;;;Meier Andreas;;;;;;;;8.5
+;5;8.5;Blattmann Roman (2003);;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Felder Seppi;*;11;55.5;10;17.5;4;-1.0;8.5
-;11;27.0;Schöpfer Marco (2003);;23;35.5;13;26.5;2;-0.5;9.0
o;14;36.0;Langenegger Ruedi;;12;55.25;11;36.75;-3;0.75;8.5
+;18;44.5;Herger Andreas (2003);;22;52.75;19;44.25;1;-0.25;10.0

15f;Beffa Mario;;;;;;;;;;54.5
-;;;Supper Frederik;;;;;;;;9.0
+;3;9.0;Bär Leo;;23;35.5;2;9.75;-1;0.75;9.75
+;5;18.75;Zimmermann Simon;**;12;55.25;6;18.5;1;-0.25;10.0
o;4;28.75;Gloggner Reto;**;4;57.25;5;28.5;1;-0.25;8.5
-;9;37.25;Bucher Thomas;;10;55.75;10;37.0;1;-0.25;8.75
o;12;46.0;Gasser Stefan;**;9;56.0;12;46.0;0;0.0;8.5

15g;Suter Raphael;;;;;;;;;;54.5
o;;;Scherrer Fabian (2002);;;;;;;;8.5
+;5;8.5;Garovi Matteo (2003);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Langensand Stefan;*;11;55.5;10;17.5;4;-1.0;8.75
-;10;27.25;Durrer Ueli;;15;54.5;11;27.0;1;-0.25;8.75
+;14;36.0;Gisler Silvan (2002);;22;52.75;15;35.75;1;-0.25;10.0
o;12;46.0;Kurmann Toni;*;10;55.75;13;45.75;1;-0.25;8.5

15h;Durrer Ueli;;;;;;;;;;54.5
-;;;Betschart Daniel;;;;;;;;8.75
+;4;8.75;Langenegger Gerhard;;23;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Döbeli Andreas;*;9;56.0;11;17.25;5;-1.25;8.5
-;11;27.0;Suter Raphael;;15;54.5;10;27.25;-1;0.25;8.75
-;15;35.75;Müller Dominik;;18;53.75;14;36.0;-1;0.25;9.0
+;17;44.75;Wiget Ueli;;21;53.0;18;44.5;1;-0.25;9.75

15i;Doppmann Ueli;;;;;;;;;;54.5
+;;;Garovi Matteo (2003);;;;;;;;10.0
-;1;10.0;Supper Frederik;;13;55.0;3;9.0;2;-1.0;9.0
o;4;19.0;Döbeli Lukas;**;11;55.5;6;18.5;2;-0.5;8.5
o;9;27.5;Arnold Marcel;*;13;55.0;11;27.0;2;-0.5;8.5
o;14;36.0;Lüthy Ralph;;13;55.0;11;36.75;-3;0.75;8.5
+;18;44.5;Arnold Robin (2003);;20;53.25;17;44.75;-1;0.25;10.0

16a;Moos Christoph;*;;;;;;;;;54.25
-;;;Arnold Severin;*;;;;;;;8.75
o;4;8.75;Wyrsch Marco;**;8;56.25;4;8.75;0;0.0;8.5
+;11;17.25;Ettlin Martin;;11;55.5;6;18.5;-5;1.25;10.0
+;10;27.25;Schärli Reto;;9;56.0;9;27.5;-1;0.25;9.75
o;10;37.0;Stöckli Damian;*;10;55.75;10;37.0;0;0.0;8.5
-;14;45.5;Vogel Marcel;;15;54.5;13;45.75;-1;0.25;8.75

16b;Gasser Dominik 1;;;;;;;;;;54.25
-;;;Baumann Marco;;;;;;;;8.75
o;4;8.75;Lagler Christian;;12;55.25;5;8.5;1;-0.25;8.5
+;11;17.25;Blattmann Roman (2003);;24;35.25;12;17.0;1;-0.25;10.0
o;10;27.25;Gwerder Andreas;*;16;54.25;10;27.25;0;0.0;8.5
+;15;35.75;Wiget Ueli;;21;53.0;14;36.0;-1;0.25;10.0
o;13;45.75;Betschart Marcel;*;13;55.0;15;45.25;2;-0.5;8.5

16c;Schmidiger Marco;*;;;;;;;;;54.25
-;;;Gwerder Andreas;*;;;;;;;8.75
o;4;8.75;Zimmermann Martin;**;6;56.75;3;9.0;-1;0.25;8.75
+;10;17.5;von Rickenbach Pirmin (2002);;22;52.75;6;18.5;-4;1.0;10.0
o;9;27.5;Barmettler Renato (2003);;14;54.75;7;28.0;-2;0.5;8.5
+;14;36.0;Spichtig Aldo;;18;53.75;11;36.75;-3;0.75;9.75
o;13;45.75;Schuler Alex;***;12;55.25;14;45.5;1;-0.25;8.5

16d;Baumann Marco;;;;;;;;;;54.25
-;;;Gasser Dominik 1;;;;;;;;8.75
+;4;8.75;Vogler Jonas;;23;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Thierstein Marco;*;13;55.0;9;17.75;3;-0.75;8.75
+;10;27.25;Föhn Christian (2002);;23;35.5;11;27.0;1;-0.25;10.0
o;9;37.25;Kälin Roland;**;12;55.25;10;37.0;1;-0.25;8.5
o;13;45.75;Wandeler Roman (2002);;11;55.5;13;45.75;0;0.0;8.5

16e;Schmid Pius;;;;;;;;;;54.25
+;;;Lagler Christian;;;;;;;;10.0
-;1;10.0;Schuler Samuel (2003);;21;53.0;1;10.0;0;0.0;8.75
o;5;18.75;Leuthard Reto;**;10;55.75;9;17.75;4;-1.0;8.5
+;10;27.25;von Rickenbach Pirmin (2002);;22;52.75;10;27.25;0;0.0;9.75
-;10;37.0;Gwerder Andreas;*;16;54.25;10;37.0;0;0.0;8.75
o;13;45.75;Schärli Reto;;9;56.0;12;46.0;-1;0.25;8.5

16f;Gwerder Andreas;*;;;;;;;;;54.25
-;;;Schmidiger Marco;*;;;;;;;8.75
+;4;8.75;Lustenberger Marc (2003);;11;55.5;2;9.75;-2;1.0;10.0
o;5;18.75;Imhof Andi;***;2;57.75;7;18.25;2;-0.5;8.5
+;10;27.25;Gasser Dominik 1;;16;54.25;10;27.25;0;0.0;9.75
-;10;37.0;Schmid Pius;;16;54.25;10;37.0;0;0.0;8.75
o;13;45.75;Odermatt Christian;**;7;56.5;10;46.5;-3;0.75;8.5

16g;Stadler Kevin (2002);;;;;;;;;;54.25
o;;;Baumann Lukas;;;;;;;;8.5
+;5;8.5;Henggeler Reto (2003);;27;34.25;5;8.5;0;0.0;10.0
-;6;18.5;Arnold Marcel;*;13;55.0;7;18.25;1;-0.25;8.75
+;10;27.25;Kaiser Sandro;;21;53.0;10;27.25;0;0.0;9.75
-;10;37.0;Hösli Fritz;*;19;53.5;14;36.0;4;-1.0;8.75
o;13;45.75;Jund Matthias;;12;55.25;14;45.5;1;-0.25;8.5

16h;Nietlispach Pascal;**;;;;;;;;;54.25
-;;;Leuthard Reto;**;;;;;;;8.75
+;4;8.75;Langensand Stefan;*;11;55.5;3;9.0;-1;0.25;10.0
o;5;18.75;Ulrich Andreas;***;6;56.75;7;18.25;2;-0.5;8.5
+;10;27.25;Gander Michael;;13;55.0;7;28.0;-3;0.75;10.0
o;9;37.25;Kennel Beat;*;5;57.0;9;37.25;0;0.0;8.5
o;13;45.75;Wallimann Remo;;9;56.0;12;46.0;-1;0.25;8.5

16i;Andermatt Adrian;;;;;;;;;;54.25
o;;;Durrer Markus;;;;;;;;8.75
o;4;8.75;Betschart Daniel;;15;54.5;4;8.75;0;0.0;8.5
+;11;17.25;Herger Andreas (2003);;22;52.75;11;17.25;0;0.0;10.0
o;10;27.25;Schnider Markus;*;12;55.25;11;27.0;1;-0.25;8.75
+;14;36.0;Rust Sandro;;15;54.5;14;36.0;0;0.0;9.75
o;13;45.75;Felder Seppi;*;11;55.5;13;45.75;0;0.0;8.5

16j;Zimmermann Raffael;;;;;;;;;;54.25
o;;;Hürlimann Ueli (2001);;;;;;;;8.75
o;4;8.75;Klauser Nico;;17;54.0;5;8.5;1;-0.25;8.5
+;11;17.25;Dittli Mathias (2002);;23;35.5;11;17.25;0;0.0;9.75
-;11;27.0;Betschart Silvan;*;26;34.75;15;26.0;4;-1.0;8.75
+;15;35.75;Arnold Robin (2003);;20;53.25;13;36.25;-2;0.5;10.0
o;13;45.75;Hegner Ueli;*;12;55.25;14;45.5;1;-0.25;8.5

16k;Suter Bruno (2002);;;;;;;;;;54.25
+;;;Rogenmoser Luca (2003);;;;;;;;10.0
o;1;10.0;Fellmann Simon;;13;55.0;1;10.0;0;0.0;8.75
o;5;18.75;Bieri Christian;**;7;56.5;7;18.25;2;-0.5;8.5
+;10;27.25;Burri Ueli;;23;35.5;11;27.0;1;-0.25;10.0
o;9;37.25;Burch Jonas;*;4;57.25;8;37.5;-1;0.25;8.5
o;13;45.75;Bucher Thomas;;10;55.75;13;45.75;0;0.0;8.5

17a;Fischer Markus;;;;;;;;;;54.0
o;;;Hurschler Adrian;;;;;;;;8.5
+;5;8.5;Inderbitzin Urs;;31;25.5;5;8.5;0;0.0;9.75
o;7;18.25;Supper Frederik;;13;55.0;9;17.75;2;-0.5;8.5
+;12;26.75;Rogenmoser Luca (2003);;26;34.75;15;26.0;3;-0.75;9.75
o;12;36.5;Barmettler Peter;*;12;55.25;11;36.75;-1;0.25;8.5
-;16;45.0;Imholz Elias;;17;54.0;16;45.0;0;0.0;9.0

17b;Herger Andreas;;;;;;;;;;54.0
+;;;Hürlimann Marco (2002);;;;;;;;9.75
+;2;9.75;Föhn Christian (2002);;23;35.5;2;9.75;0;0.0;10.0
o;2;19.75;Fellmann Roman;**;10;55.75;6;18.5;4;-1.25;8.75
o;5;28.5;Bieri Christian;**;7;56.5;7;28.0;2;-0.5;8.5
o;10;37.0;Betschart Patrick;*;12;55.25;10;37.0;0;0.0;8.5
o;14;45.5;Albert Thomas;;12;55.25;15;45.25;1;-0.25;8.5

17c;Gasser Dominik 2;;;;;;;;;;54.0
o;;;Suter Beat;;;;;;;;8.5
-;5;8.5;Wyss Christian;;18;53.75;4;8.75;-1;0.25;8.75
+;11;17.25;Langenegger Gerhard;;23;35.5;12;17.0;1;-0.25;10.0
o;10;27.25;Felder Seppi;*;11;55.5;10;27.25;0;0.0;8.5
+;15;35.75;von Rickenbach Pirmin (2002);;22;52.75;15;35.75;0;0.0;9.75
o;14;45.5;Bucher Roland;*;11;55.5;13;45.75;-1;0.25;8.5

17d;Hurschler Adrian;;;;;;;;;;54.0
+;;;Fischer Markus;;;;;;;;10.0
+;1;10.0;Kälin Michael (2002);;24;35.25;2;9.75;1;-0.25;9.75
o;2;19.75;Egli Damian;**;6;56.75;4;19.0;2;-0.75;8.5
o;6;28.25;Hess Michael;*;13;55.0;8;27.75;2;-0.5;8.5
-;11;36.75;Bürgi Tobias;;17;54.0;12;36.5;1;-0.25;8.75
o;14;45.5;Fellmann Roman;**;10;55.75;13;45.75;-1;0.25;8.5

17e;Imholz Elias;;;;;;;;;;54.0
o;;;Riebli Urs (2002);;;;;;;;8.5
+;5;8.5;Müller Marco;;23;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Schelbert Roman (2003);;27;34.25;11;17.25;4;-1.0;9.75
o;7;28.0;Thierstein Marco;*;13;55.0;9;27.5;2;-0.5;8.5
o;12;36.5;Bucher André (2001);;13;55.0;11;36.75;-1;0.25;8.5
-;16;45.0;Fischer Markus;;17;54.0;16;45.0;0;0.0;9.0

17f;Roner Remo (2002);;;;;;;;;;54.0
o;;;Durrer Lukas;;;;;;;;8.5
+;5;8.5;Baumgartner Matthias (2003);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Stöckli Damian;*;10;55.75;11;17.25;5;-1.25;8.5
+;11;27.0;Furrer Fabian;;23;35.5;11;27.0;0;0.0;10.0
o;10;37.0;Vonlaufen Lukas;*;11;55.5;10;37.0;0;0.0;8.5
o;14;45.5;Zimmermann Reto;;12;55.25;14;45.5;0;0.0;8.5

17g;Gisler Noah (2002);;;;;;;;;;54.0
o;;;Schmid Pirmin;;;;;;;;8.5
+;5;8.5;Keller Damian (2002);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Hösli Fritz;*;19;53.5;10;17.5;4;-1.0;8.5
+;11;27.0;Gander Benjamin;;23;35.5;11;27.0;0;0.0;9.75
o;11;36.75;Ming Christian;*;14;54.75;13;36.25;2;-0.5;8.5
-;15;45.25;Wyss Christian;;18;53.75;16;45.0;1;-0.25;8.75

17h;Hürlimann Ueli (2001);;;;;;;;;;54.0
+;;;Zimmermann Raffael;;;;;;;;9.75
-;2;9.75;Ulrich Pascal;;14;54.75;1;10.0;-1;0.25;8.75
o;6;18.5;Rohrer Ueli;*;6;56.75;7;18.25;1;-0.25;8.5
+;11;27.0;Gisler Silvan (2002);;22;52.75;11;27.0;0;0.0;10.0
o;10;37.0;Klausner Yanick;**;7;56.5;12;36.5;2;-0.5;8.5
o;14;45.5;Scherer Niklaus;*;12;55.25;15;45.25;1;-0.25;8.5

17i;Aregger Fabian (2001);;;;;;;;;;54.0
o;;;Ettlin Martin;;;;;;;;8.75
+;4;8.75;Nussbaumer Mirco (2003);;24;35.25;5;8.5;1;-0.25;9.75
+;6;18.5;Suter Beat;;30;27.0;6;18.5;0;0.0;9.75
o;6;28.25;Streiff Dominik;*;7;56.5;8;27.75;2;-0.5;8.5
o;11;36.75;Matter Marco;;7;56.5;10;37.0;-1;0.25;8.5
-;15;45.25;Müller Dominik;;18;53.75;16;45.0;1;-0.25;8.75

17j;Klauser Nico;;;;;;;;;;54.0
o;;;Jund Matthias;;;;;;;;8.5
+;5;8.5;Zimmermann Raffael;;16;54.25;4;8.75;-1;0.25;9.75
+;7;18.25;Britschgi Marcel (2003);;24;35.25;7;18.25;0;0.0;10.0
o;6;28.25;Stöckli Damian;*;10;55.75;10;27.25;4;-1.0;8.5
o;11;36.75;Langensand Stefan;*;11;55.5;12;36.5;1;-0.25;8.5
-;15;45.25;Bürgi Tobias;;17;54.0;15;45.25;0;0.0;8.75

17k;Bürgi Tobias;;;;;;;;;;54.0
o;;;Schuler Samuel (2003);;;;;;;;8.5
+;5;8.5;Rohrer Michael;;23;35.5;5;8.5;0;0.0;9.75
+;7;18.25;Hürlimann Marco (2002);;20;53.25;10;17.5;3;-0.75;9.75
o;7;28.0;Rohrer Ivan;**;10;55.75;10;27.25;3;-0.75;8.5
-;12;36.5;Hurschler Adrian;;17;54.0;11;36.75;-1;0.25;8.75
-;15;45.25;Klauser Nico;;17;54.0;15;45.25;0;0.0;8.75

18a;Meier Andreas;;;;;;;;;;53.75
+;;;Odermatt Lars (2002);;;;;;;;9.75
+;2;9.75;Ulrich Damian;;18;53.75;2;9.75;0;0.0;10.0
o;2;19.75;Bernhard Lukas;*;3;57.5;5;18.75;3;-1.0;8.5
o;6;28.25;Zurfluh Michael;*;11;55.5;7;28.0;1;-0.25;8.5
o;11;36.75;Ettlin Martin;;11;55.5;10;37.0;-1;0.25;8.5
o;15;45.25;Ming Hannes;;12;55.25;14;45.5;-1;0.25;8.5

18b;Wyss Christian;;;;;;;;;;53.75
-;;;Dittli Mathias (2002);;;;;;;;8.75
-;4;8.75;Gasser Dominik 2;;17;54.0;5;8.5;1;-0.25;8.75
+;10;17.5;Müller Dominik;;18;53.75;11;17.25;1;-0.25;10.0
o;9;27.5;Käslin Ruedi;*;20;53.25;15;26.0;6;-1.5;8.5
-;14;36.0;Durrer Lukas;;14;54.75;14;36.0;0;0.0;9.0
-;16;45.0;Gisler Noah (2002);;17;54.0;15;45.25;-1;0.25;8.75

18c;Müller Dominik;;;;;;;;;;53.75
o;;;Wandeler Roman (2002);;;;;;;;8.5
o;5;8.5;Weber Ivo;;10;55.75;4;8.75;-1;0.25;8.75
o;11;17.25;Wyss Christian;;18;53.75;10;17.5;-1;0.25;8.75
+;15;26.0;Schelbert Roman (2003);;27;34.25;16;25.75;1;-0.25;10.0
-;14;36.0;Durrer Ueli;;15;54.5;15;35.75;1;-0.25;9.0
-;16;45.0;Aregger Fabian (2001);;17;54.0;15;45.25;-1;0.25;8.75

18d;Spichtig Aldo;;;;;;;;;;53.75
o;;;Wicki Kevin;;;;;;;;8.5
+;5;8.5;Rust Silvio (2001);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Scherer Niklaus;*;12;55.25;12;17.0;6;-1.5;8.5
+;11;27.0;Herger Marco (2002);;20;53.25;10;27.25;-1;0.25;9.75
o;11;36.75;Schmidiger Marco;*;16;54.25;14;36.0;3;-0.75;8.5
o;15;45.25;Vogel Manuel;;11;55.5;14;45.5;-1;0.25;8.5

18e;Ulrich Damian;;;;;;;;;;53.75
+;;;Rust Sandro;;;;;;;;9.75
o;2;9.75;Meier Andreas;;18;53.75;2;9.75;0;0.0;8.5
o;7;18.25;Zimmermann Reto;;12;55.25;7;18.25;0;0.0;8.5
+;12;26.75;Hotz Quirin;;24;35.25;12;26.75;0;0.0;10.0
o;11;36.75;Achermann Christoph;*;10;55.75;15;35.75;4;-1.0;8.5
o;15;45.25;Supper Frederik;;13;55.0;16;45.0;1;-0.25;8.5

18f;Gander Sebastian (2003);;;;;;;;;;53.75
o;;;Hotz Quirin;;;;;;;;8.5
+;5;8.5;Hürlimann Adrian (2002);;27;34.25;5;8.5;0;0.0;9.75
+;7;18.25;Hotz Basil (2003);;28;34.0;12;17.0;5;-1.25;10.0
o;6;28.25;Kenel Franz-Toni;*;4;57.25;9;27.5;3;-0.75;8.5
o;11;36.75;Elsener Marcel;*;5;57.0;9;37.25;-2;0.5;8.5
o;15;45.25;Baumann Lukas;;10;55.75;13;45.75;-2;0.5;8.5

18g;Gabriel Simon (2002);;;;;;;;;;53.75
-;;;Arnold Robin (2003);;;;;;;;9.0
+;3;9.0;Kempf Fabian (2002);;19;53.5;2;9.75;-1;0.75;10.0
o;4;19.0;Steinauer Adrian;**;9;56.0;6;18.5;2;-0.5;8.5
-;9;27.5;Rust Sandro;;15;54.5;11;27.0;2;-0.5;9.0
o;12;36.5;Schnider Markus;*;12;55.25;11;36.75;-1;0.25;8.5
-;16;45.0;Schuler Koni;;19;53.5;17;44.75;1;-0.25;8.75

19a;Schuler Koni;;;;;;;;;;53.5
+;;;Keller Damian (2002);;;;;;;;10.0
o;1;10.0;Gander Michael;;13;55.0;2;9.75;1;-0.25;8.75
o;5;18.75;Vonlaufen Lukas;*;11;55.5;6;18.5;1;-0.25;8.5
-;10;27.25;Kempf David;;20;53.25;11;27.0;1;-0.25;8.75
o;14;36.0;Blattmann Philipp;;13;55.0;11;36.75;-3;0.75;8.75
-;17;44.75;Gabriel Simon (2002);;18;53.75;16;45.0;-1;0.25;8.75

19b;Kempf Fabian (2002);;;;;;;;;;53.5
+;;;Langenegger Raffael (2001);;;;;;;;9.75
o;2;9.75;Gabriel Simon (2002);;18;53.75;3;9.0;1;-0.75;8.5
+;7;18.25;Gabriel Christian;;23;35.5;7;18.25;0;0.0;9.75
o;7;28.0;Döbeli Andreas;*;9;56.0;11;27.0;4;-1.0;8.5
o;12;36.5;Durrer Markus;;8;56.25;12;36.5;0;0.0;8.5
o;16;45.0;Durrer Lukas;;14;54.75;16;45.0;0;0.0;8.5

19c;Hösli Fritz;*;;;;;;;;;53.5
-;;;Felder Seppi;*;;;;;;;8.75
o;4;8.75;Scherrer Fabian (2002);;12;55.25;1;10.0;-3;1.25;8.75
+;10;17.5;Gisler Noah (2002);;17;54.0;6;18.5;-4;1.0;10.0
o;9;27.5;Schuler Alex;***;12;55.25;10;27.25;1;-0.25;8.5
-;14;36.0;Stadler Kevin (2002);;16;54.25;10;37.0;-4;1.0;8.75
-;17;44.75;Käslin Ruedi;*;20;53.25;18;44.5;1;-0.25;8.75

20a;Hürlimann Marco (2002);;;;;;;;;;53.25
o;;;Herger Andreas;;;;;;;;8.5
-;5;8.5;Schöpfer Marco (2003);;23;35.5;3;9.0;-2;0.5;9.0
o;10;17.5;Bürgi Tobias;;17;54.0;7;18.25;-3;0.75;8.5
+;15;26.0;Hotz Basil (2003);;28;34.0;17;25.5;2;-0.5;10.0
o;14;36.0;Odermatt Christian;**;7;56.5;12;36.5;-2;0.5;8.5
-;18;44.5;Kempf David;;20;53.25;18;44.5;0;0.0;8.75

20b;Meier Daniel;;;;;;;;;;53.25
+;;;Britschgi Marcel (2003);;;;;;;;10.0
-;1;10.0;Schärli Reto;;9;56.0;1;10.0;0;0.0;8.75
o;5;18.75;Fankhauser Reto;**;7;56.5;9;17.75;4;-1.0;8.5
o;10;27.25;Ettlin Martin;;11;55.5;11;27.0;1;-0.25;8.5
-;15;35.75;Kempf David;;20;53.25;15;35.75;0;0.0;8.75
-;18;44.5;Kaiser Sandro;;21;53.0;19;44.25;1;-0.25;8.75

20c;Staub Ivan;;;;;;;;;;53.25
-;;;Schöpfer Marco (2003);;;;;;;;9.0
o;3;9.0;Steiner Severin (2001);;13;55.0;4;8.75;1;-0.25;8.5
+;10;17.5;Garovi Matteo (2003);;28;34.0;12;17.0;2;-0.5;10.0
o;9;27.5;Scherer Niklaus;*;12;55.25;11;27.0;2;-0.5;8.5
o;14;36.0;Wicki Kevin;;11;55.5;10;37.0;-4;1.0;8.5
-;18;44.5;Schuler Samuel (2003);;21;53.0;19;44.25;1;-0.25;8.75

20d;Kempf David;;;;;;;;;;53.25
+;;;Rust Sandro;;;;;;;;10.0
o;1;10.0;Baumann Lukas;;10;55.75;2;9.75;1;-0.25;8.5
o;6;18.5;Reichmuth Armin;*;8;56.25;7;18.25;1;-0.25;8.5
-;11;27.0;Schuler Koni;;19;53.5;10;27.25;-1;0.25;8.75
-;15;35.75;Meier Daniel;;20;53.25;15;35.75;0;0.0;8.75
-;18;44.5;Hürlimann Marco (2002);;20;53.25;18;44.5;0;0.0;8.75

20e;Herger Marco (2002);;;;;;;;;;53.25
+;;;Müller Marco;;;;;;;;9.75
-;2;9.75;Appert Silvan (2003);;29;27.25;2;9.75;0;0.0;9.0
o;5;18.75;Betschart Patrick;*;12;55.25;6;18.5;1;-0.25;8.5
o;10;27.25;Spichtig Aldo;;18;53.75;11;27.0;1;-0.25;8.5
-;15;35.75;Mehr Lars (2002);;20;53.25;15;35.75;0;0.0;9.0
o;17;44.75;Gassmann Michael;*;12;55.25;15;45.25;-2;0.5;8.5

20f;Käslin Ruedi;*;;;;;;;;;53.25
-;;;Betschart Patrick;*;;;;;;;8.75
o;4;8.75;Betschart Rainer;**;10;55.75;4;8.75;0;0.0;8.5
-;11;17.25;Steiner Severin (2001);;13;55.0;5;18.75;-6;1.5;8.75
+;15;26.0;Wyss Christian;;18;53.75;9;27.5;-6;1.5;9.75
-;15;35.75;Supper Frederik;;13;55.0;13;36.25;-2;0.5;8.75
-;18;44.5;Hösli Fritz;*;19;53.5;17;44.75;-1;0.25;8.75

20g;Arnold Robin (2003);;;;;;;;;;53.25
-;;;Gabriel Simon (2002);;;;;;;;9.0
-;3;9.0;Suter Lukas (2002);;26;34.75;4;8.75;1;-0.25;9.0
+;8;18.0;Keller Damian (2002);;28;34.0;12;17.0;4;-1.0;9.75
o;8;27.75;Zimmermann Simon;**;12;55.25;11;27.0;3;-0.75;8.5
o;13;36.25;Zimmermann Raffael;;16;54.25;15;35.75;2;-0.5;8.5
o;17;44.75;Doppmann Ueli;;15;54.5;18;44.5;1;-0.25;8.5

20h;Mehr Lars (2002);;;;;;;;;;53.25
o;;;Grab Martin;;;;;;;;8.5
+;5;8.5;Brun Christian;;23;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Brun Jonas;**;12;55.25;10;17.5;4;-1.0;8.75
o;10;27.25;Betschart Daniel;;15;54.5;9;27.5;-1;0.25;8.5
-;15;35.75;Herger Marco (2002);;20;53.25;15;35.75;0;0.0;9.0
o;17;44.75;Waser Reto;*;15;54.5;18;44.5;1;-0.25;8.5

21a;Schuler Samuel (2003);;;;;;;;;;53.0
+;;;Bürgi Tobias;;;;;;;;10.0
-;1;10.0;Schmid Pius;;16;54.25;1;10.0;0;0.0;8.75
o;5;18.75;Elsener Marcel;*;5;57.0;6;18.5;1;-0.25;8.5
o;10;27.25;Steiner Severin (2001);;13;55.0;9;27.5;-1;0.25;8.5
o;15;35.75;Wallimann Remo;;9;56.0;14;36.0;-1;0.25;8.5
-;19;44.25;Staub Ivan;;20;53.25;18;44.5;-1;0.25;8.75

21b;Wiget Ueli;;;;;;;;;;53.0
o;;;Bucher André (2001);;;;;;;;8.75
+;4;8.75;Schelbert Roman (2003);;27;34.25;4;8.75;0;0.0;9.75
o;6;18.5;Rohrer Ivan;**;10;55.75;11;17.25;5;-1.25;8.5
-;11;27.0;Durrer Lukas;;14;54.75;11;27.0;0;0.0;9.0
o;14;36.0;Gasser Dominik 1;;16;54.25;15;35.75;1;-0.25;8.5
o;18;44.5;Durrer Ueli;;15;54.5;17;44.75;-1;0.25;8.5

21c;Kaiser Sandro;;;;;;;;;;53.0
+;;;Henggeler Reto (2003);;;;;;;;9.75
o;2;9.75;Bucher André (2001);;13;55.0;2;9.75;0;0.0;8.5
