4187-2018-07-29_Bruenig-Schwinget-ST

1a;Fankhauser Reto;**;;;;;;;;;92.0
o;17;25.75;Scherrer Johann;**;20;53.25;16;26.0;-1;0.25;8.5

29b;Gassmann Michael;*;;;;;;;;;34.25
o;;;Steffen Gustav;*;;;;;;;8.5
o;6;8.5;Schwander Severin;*;12;55.25;6;8.5;0;0.0;8.5
-;12;17.0;Hügli Kaj;**;22;52.75;12;17.0;0;0.0;8.75
o;17;25.75;Schmid Samuel;**;14;54.75;16;26.0;-1;0.25;8.5

30a;Berger Lorenz;*;;;;;;;;;34.0
o;;;Stoll Simon;*;;;;;;;8.5
o;6;8.5;Döbeli Andreas;*;15;54.5;5;8.75;-1;0.25;8.5
o;12;17.0;Murer Andy;**;15;54.5;11;17.25;-1;0.25;8.5
o;18;25.5;Kramer Franz;*;24;35.5;17;25.75;-1;0.25;8.5

31a;Ulrich Marco;*;;;;;;;;;17.0
o;;;Sommer Roman;*;;;;;;;8.5
o;6;8.5;Fankhauser Reto;*;1;92.0;1;18.25;-5;9.75;8.5

31b;Hermann Oliver;*;;;;;;;;;17.0
o;;;Steffen Konrad;*;;;;;;;8.5
o;6;8.5;Odermatt Andreas;*;20;53.25;6;8.5;0;0.0;8.5

31c;Bucher Christian;*;;;;;;;;;17.0
o;;;Grossen John;*;;;;;;;8.5
o;6;8.5;Gäggeler Adrian;*;17;54.0;6;8.5;0;0.0;8.5

