3494-2017-05-28_Solothurner_Kantonalschwingfest-ST

1a;Gisler Bruno;***;;;;;;;;;59.5
o;10;17.0;Scherrer Johann;**;16;54.25;9;17.25;-1;0.25;8.5
-;16;25.5;Eggenschwiler Fabian;;16;54.25;11;26.75;-5;1.25;9.0

27a;Dettwiler Patrick;;;;;;;;;;34.25
-;;;Brändli Kevin;;;;;;;;8.75
o;4;8.75;Wilhelm Manuel;;18;53.75;5;8.5;1;-0.25;8.5
o;9;17.25;Loosli Adrian;;18;53.75;10;17.0;1;-0.25;8.5
o;15;25.75;Rüegg Benjamin;;18;53.75;11;26.75;-4;1.0;8.5

27b;Tschan Raphael (2000);;;;;;;;;;34.25
o;;;Grieder Nonda (1999);;;;;;;;8.5
-;5;8.5;Brändli Kevin;;26;34.5;4;8.75;-1;0.25;8.75
o;9;17.25;Reinhard Reto (1999);;17;54.0;9;17.25;0;0.0;8.5
o;15;25.75;Hermann Lukas 1 (2000);;21;53.0;16;25.5;1;-0.25;8.5

27c;Niggli Andreas;;;;;;;;;;34.25
o;;;Müller Simon;;;;;;;;8.5
o;5;8.5;Regenass Beat;;17;54.0;5;8.5;0;0.0;8.5
-;10;17.0;Meier Fabian;;22;52.75;10;17.0;0;0.0;8.75
o;15;25.75;Brack Simon;;22;52.75;15;25.75;0;0.0;8.5

27d;Vogt Patrick (1999);;;;;;;;;;34.25
o;;;Müller Christian;;;;;;;;8.75
o;4;8.75;Eggen Markus;;16;54.25;2;9.75;-2;1.0;8.5
o;9;17.25;Krebs Clemens;;12;55.25;5;18.5;-4;1.25;8.5
o;15;25.75;Vogel Remo (2001);;16;54.25;14;26.0;-1;0.25;8.5

28a;Huber Pascal;;;;;;;;;;34.0
o;;;Traub Manuel;;;;;;;;8.5
o;5;8.5;Widmer Dino;;18;53.75;4;8.75;-1;0.25;8.5
o;10;17.0;Lüscher Ivan (2001);;21;53.0;9;17.25;-1;0.25;8.5
o;16;25.5;Vogt Fredy (2001);;14;54.75;11;26.75;-5;1.25;8.5

28b;Nussbaumer Dominik;;;;;;;;;;34.0
o;;;Läuchli Janik (2000);;;;;;;;8.5
o;5;8.5;Kaiser Elias;;24;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Rüegg Benjamin;;18;53.75;10;17.0;0;0.0;8.5
o;16;25.5;Imobersteg Tobias;;21;53.0;14;26.0;-2;0.5;8.5

29a;Vieira Tiago;**;;;;;;;;;17.25
o;;;Brand Christian;**;;;;;;;8.5
-;5;8.5;Zürcher Remo;*;9;56.0;4;8.75;-1;0.25;8.75

29b;Schär Simon;*;;;;;;;;;17.25
o;;;von Arx Christian;*;;;;;;;8.5
-;5;8.5;Lisser Beat;;14;54.75;1;10.0;-4;1.5;8.75

30a;Büchi Christian;;;;;;;;;;17.0
o;;;Bieli Mario;;;;;;;;8.5
o;5;8.5;Bachmann Sämi (2001);;20;53.25;4;8.75;-1;0.25;8.5

