3077-2016-06-19_101_Basellandschaftliches_Kantonalschwingfest-ST

1a;Erb Roger;**;;;;;;;;;58.75
+;5;8.5;Schudel Simon;*;12;55.0;5;8.5;0;0.0;10.0
+;6;18.5;Fritz Christian;;17;53.75;3;19.5;-3;1.0;10.0
+;3;28.5;Gerber Andrj (2000);;10;55.5;3;28.5;0;0.0;10.0
o;2;38.5;Erb Roger;**;1;58.75;1;38.75;-1;0.25;8.75
o;6;47.25;Kocher Remo;**;4;57.0;7;47.0;1;-0.25;8.5

9c;Döbeli Andreas (1998);*;;;;;;;;;55.75
+;;;Schmutz Adrian;*;;;;;;;10.0
o;1;10.0;Stalder Remo;***;3;57.25;4;8.75;3;-1.25;8.5
-;6;18.5;Dobler Florian;;14;54.5;2;19.75;-4;1.25;8.75
+;8;27.25;Allenbach Björn;;10;55.5;8;27.25;0;0.0;10.0
o;7;37.25;Scherrer Johann;**;10;55.5;8;37.0;1;-0.25;8.5
+;12;45.75;Gabathuler Björn (1998);;13;54.75;10;46.25;-2;0.5;10.0

9d;Jusufi Azret;;;;;;;;;;55.75
+;;;Gabathuler Björn (1998);;;;;;;;10.0
-;1;10.0;Bearda Samuel;;14;54.5;2;9.75;1;-0.25;8.75
o;5;18.75;Thoenen Henryc;**;24;46.75;6;18.5;1;-0.25;8.5
+;8;27.25;Probst Stefan;;27;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Hauri Urs;**;8;56.0;7;37.25;0;0.0;8.5
+;12;45.75;Seiler Thomas;;17;53.75;14;45.25;2;-0.5;10.0

9e;Schär Simon;*;;;;;;;;;55.75
o;;;Brun Samuel (1999);*;;;;;;;8.5
o;5;8.5;Henzer Andreas;**;6;56.5;3;9.0;-2;0.5;8.5
+;12;17.0;Grossmann Andreas;;28;35.25;7;18.25;-5;1.25;10.0
+;9;27.0;Gisin Yanic;;11;55.25;8;27.25;-1;0.25;10.0
-;8;37.0;Probst Gabriel;**;26;46.0;8;37.0;0;0.0;9.0
+;11;46.0;Brügger Cyrill (1998);;24;46.75;8;46.75;-3;0.75;9.75

10a;Scherrer Johann;**;;;;;;;;;55.5
o;;;Hasler Manuel;*;;;;;;;8.75
o;4;8.75;Alpiger Nick;**;3;57.25;4;8.75;0;0.0;8.5
+;11;17.25;Bürgler Patrick;;11;55.25;6;18.5;-5;1.25;10.0
+;8;27.25;Schopferer Cyril (2000);;20;53.0;8;27.25;0;0.0;9.75
+;8;37.0;Döbeli Andreas (1998);*;9;55.75;7;37.25;-1;0.25;10.0
o;7;47.0;Brand Christian;**;2;57.5;5;47.5;-2;0.5;8.5

10b;Gschwind Michael;**;;;;;;;;;55.5
+;;;Steinmann Yves;*;;;;;;;10.0
o;1;10.0;Gisler Bruno;***;2;57.5;4;8.75;3;-1.25;8.5
+;6;18.5;Reimann Marco (1998);;14;54.5;5;18.75;-1;0.25;9.75
+;4;28.25;Meister Luc;;17;53.75;4;28.25;0;0.0;10.0
-;3;38.25;Strebel Joel;**;23;47.0;7;37.25;4;-1.0;8.75
o;7;47.0;Hügli Kaj;*;4;57.0;6;47.25;-1;0.25;8.5

10c;Allenbach Björn;;;;;;;;;;55.5
+;;;Bonato Raphael;;;;;;;;10.0
-;1;10.0;Brügger Joël (2000);;12;55.0;1;10.0;0;0.0;8.75
o;5;18.75;Räbmatter Patrick;**;3;57.25;6;18.5;1;-0.25;8.5
o;8;27.25;Döbeli Andreas (1998);*;9;55.75;8;27.25;0;0.0;8.5
+;13;35.75;Schopferer Cyril (2000);;20;53.0;13;35.75;0;0.0;10.0
+;12;45.75;Roth Christian;;15;54.25;12;45.75;0;0.0;9.75

10d;Gerber Andrj (2000);;;;;;;;;;55.5
+;;;Aellig Roland (2000);;;;;;;;9.75
+;2;9.75;Müller Jan (1998);;27;35.5;1;10.0;-1;0.25;10.0
-;2;19.75;Schmutz Adrian;*;5;56.75;6;18.5;4;-1.25;8.75
o;3;28.5;Schaffner Samuel;**;9;55.75;3;28.5;0;0.0;8.5
-;8;37.0;François Cederic;;15;54.25;8;37.0;0;0.0;8.75
+;12;45.75;Gander Michael (1998);;15;54.25;13;45.5;1;-0.25;9.75

10e;Widmer Tobias;**;;;;;;;;;55.5
o;;;Schmutz Adrian;*;;;;;;;8.5
o;5;8.5;Schmid David;**;6;56.5;4;8.75;-1;0.25;8.5
+;12;17.0;Fehlmann Silvan;;28;35.25;7;18.25;-5;1.25;10.0
o;9;27.0;Gabathuler Björn (1998);;13;54.75;8;27.25;-1;0.25;8.75
+;13;35.75;Burtschi Michael;;15;54.25;13;35.75;0;0.0;10.0
+;12;45.75;Widmer Cyrill (1998);;14;54.5;11;46.0;-1;0.25;9.75

10f;Stoffel Marc;**;;;;;;;;;55.5
+;;;Schudel Simon;*;;;;;;;10.0
-;1;10.0;Leuthard Reto;*;5;56.75;2;9.75;1;-0.25;9.0
+;4;19.0;Jusufi Ilber;;10;55.5;2;19.75;-2;0.75;9.75
o;2;28.75;Gisler Bruno;***;2;57.5;2;28.75;0;0.0;8.5
+;7;37.25;Bearda Samuel;;14;54.5;8;37.0;1;-0.25;9.75
o;7;47.0;Klausner Yanick;**;5;56.75;7;47.0;0;0.0;8.5

10g;Jusufi Ilber;;;;;;;;;;55.5
+;;;Bieli Andreas;;;;;;;;10.0
+;1;10.0;Bürgler Patrick;;11;55.25;1;10.0;0;0.0;9.75
o;2;19.75;Stoffel Marc;**;10;55.5;4;19.0;2;-0.75;8.5
o;4;28.25;Kropf Marcel;**;10;55.5;4;28.25;0;0.0;8.5
o;9;36.75;Burren Patrick (1999);;12;55.0;9;36.75;0;0.0;8.75
+;13;45.5;Schwyn Adrian;;17;53.75;14;45.25;1;-0.25;10.0

10h;Krebs Clemens;;;;;;;;;;55.5
o;;;Stoll Simon;;;;;;;;8.5
+;5;8.5;Tschan Raphael (2000);;32;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Stegmüller Klemens;*;14;54.5;12;17.0;5;-1.25;8.75
+;9;27.0;Aellig Roland (2000);;27;35.5;9;27.0;0;0.0;9.75
+;9;36.75;Schwander Kilian;;11;55.25;9;36.75;0;0.0;10.0
o;8;46.75;Studinger Stephan;**;6;56.5;8;46.75;0;0.0;8.75

10i;Büttler Adrian (1999);;;;;;;;;;55.5
+;;;Schwob Marco;;;;;;;;9.75
-;2;9.75;Seiler Thomas;;17;53.75;2;9.75;0;0.0;9.0
o;5;18.75;Schmid David;**;6;56.5;6;18.5;1;-0.25;8.5
o;8;27.25;Hügli Kaj;*;4;57.0;7;27.5;-1;0.25;8.5
+;13;35.75;Müller Simon;;20;53.0;13;35.75;0;0.0;10.0
+;12;45.75;Schär Jonas (1999);;16;54.0;13;45.5;1;-0.25;9.75

10j;Bader Andreas;*;;;;;;;;;55.5
o;;;Studinger Stephan;**;;;;;;;8.5
+;5;8.5;Winiger Fabian;**;33;17.0;5;8.5;0;0.0;10.0
+;6;18.5;Aerni Lars;;13;54.75;5;18.75;-1;0.25;10.0
o;3;28.5;Erb Roger;**;1;58.75;2;28.75;-1;0.25;8.5
+;8;37.0;Mangold Martin;;10;55.5;8;37.0;0;0.0;10.0
