2496-2015-06-28_120_Nordostschweizer_Schwingfest-ST

1a;Rhyner Michael;**;;;;;;;;;58.5
+;4;8.5;Bernold Christian;*;13;55.0;2;9.75;-2;1.25;9.75
+;6;18.25;Koch Thomas (1997);;13;55.0;3;19.5;-3;1.25;10.0
-;5;28.25;Kindlimann Fabian;***;9;56.0;7;27.5;2;-0.75;8.75
+;9;37.0;Manser Bruno;*;12;55.25;10;36.75;1;-0.25;10.0
o;7;47.0;Bösch Daniel;***;2;57.75;3;48.0;-4;1.0;8.5

11e;Ackermann Remo;*;;;;;;;;;55.5
+;;;Bernold Edi;**;;;;;;;9.75
o;2;9.75;Bösch Daniel;***;2;57.75;4;8.5;2;-1.25;8.5
-;6;18.25;Kammermann Dominik;;10;55.75;5;18.5;-1;0.25;9.0
+;8;27.25;Pfister Florian;;23;35.5;9;27.0;1;-0.25;9.75
-;9;37.0;Bänziger Peter;;11;55.5;9;37.0;0;0.0;8.75
+;12;45.75;Bäbler Dominik;*;15;54.5;11;46.0;-1;0.25;9.75

11f;Schneider Mario;**;;;;;;;;;55.5
o;;;Horner Peter;**;;;;;;;8.5
+;4;8.5;Rüegg Roman;*;12;55.25;2;9.75;-2;1.25;10.0
+;5;18.5;Güntensperger Marcel;*;18;53.75;5;18.5;0;0.0;9.75
+;5;28.25;Nägeli Marco;*;12;55.25;5;28.25;0;0.0;10.0
o;4;38.25;Kuster Marcel;**;5;57.0;3;38.5;-1;0.25;8.5
-;8;46.75;Peng Mike;***;11;55.5;8;46.75;0;0.0;8.75

11g;Inauen Andreas;*;;;;;;;;;55.5
o;;;Baumann Rico;*;;;;;;;8.75
+;3;8.75;Truniger Manuel;;16;54.25;1;10.0;-2;1.25;10.0
o;4;18.75;Wickli Beat;*;6;56.75;4;18.75;0;0.0;8.5
o;8;27.25;Gwerder Andreas;**;10;55.75;7;27.5;-1;0.25;8.5
+;14;35.75;Litscher Manuel;*;22;52.75;14;35.75;0;0.0;10.0
+;12;45.75;Streuli Martin;*;16;54.25;12;45.75;0;0.0;9.75

11h;Holenstein Christian;*;;;;;;;;;55.5
+;;;Bickel Stefan;*;;;;;;;10.0
o;1;10.0;Giger Samuel (1998);**;2;57.75;2;9.75;1;-0.25;8.5
-;5;18.5;Bühler Ernst;**;10;55.75;4;18.75;-1;0.25;8.75
-;8;27.25;Fässler Patrick;;15;54.5;7;27.5;-1;0.25;8.75
+;13;36.0;Koch Reto;;17;54.0;10;36.75;-3;0.75;9.75
+;12;45.75;Wittenwiler Roman (1998);;16;54.25;12;45.75;0;0.0;9.75

11i;Reber Marcel;*;;;;;;;;;55.5
o;;;Nägeli Marco;*;;;;;;;8.5
+;4;8.5;Mösli Reto;;23;35.5;2;9.75;-2;1.25;10.0
o;5;18.5;Zwyssig Raphael;***;10;55.75;4;18.75;-1;0.25;8.5
+;9;27.0;Hersche Daniel;;23;35.5;9;27.0;0;0.0;10.0
+;9;37.0;Rüegg Fabian;*;16;54.25;9;37.0;0;0.0;10.0
o;7;47.0;Kindlimann Fabian;***;9;56.0;10;46.25;3;-0.75;8.5

11j;Peng Mike;***;;;;;;;;;55.5
-;;;Schneider Domenic;**;;;;;;;8.75
o;3;8.75;Coray Beda;*;13;55.0;2;9.75;-1;1.0;8.5
+;8;17.25;Burkhard Patrick;*;17;54.0;5;18.5;-3;1.25;9.75
+;9;27.0;Bäbler Sandro;**;27;34.25;13;25.75;4;-1.25;10.0
+;9;37.0;Schnurrenberger Roman;**;11;55.5;9;37.0;0;0.0;9.75
-;8;46.75;Schneider Mario;**;11;55.5;8;46.75;0;0.0;8.75

11k;Schnurrenberger Roman;**;;;;;;;;;55.5
o;;;Kuster Marcel;**;;;;;;;8.5
+;4;8.5;Pfiffner Ivo;;23;35.5;1;10.0;-3;1.5;10.0
+;5;18.5;Bäbler Sandro;**;27;34.25;8;17.25;3;-1.25;9.75
-;5;28.25;Bänziger Peter;;11;55.5;5;28.25;0;0.0;8.75
o;9;37.0;Peng Mike;***;11;55.5;9;37.0;0;0.0;8.5
