2777-2017-06-25_122_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.5
o;4;8.75;Schläpfer Matthias;*;17;54.25;4;8.75;0;0.0;8.75
+;8;17.5;Jörger Corsin;;22;53.0;5;18.75;-3;1.25;10.0
+;8;27.5;Frick Andreas;*;25;35.75;9;27.25;1;-0.25;9.75
o;8;37.25;Wickli Beat;**;8;56.5;9;37.0;1;-0.25;8.5
+;13;45.75;Lehmann Philipp (1999);;17;54.25;13;45.75;0;0.0;10.0

11q;Orlik Curdin;**;;;;;;;;;55.75
o;;;Hersche Martin;***;;;;;;;8.75
+;4;8.75;Pfiffner Ivo;;15;54.75;1;10.0;-3;1.25;10.0
+;5;18.75;Dumelin David;*;12;55.5;5;18.75;0;0.0;10.0
o;3;28.75;Suppiger René;***;12;55.5;5;28.25;2;-0.5;8.5
+;8;37.25;Mettler Valentin;;16;54.5;7;37.5;-1;0.25;10.0
o;7;47.25;Wickli Beat;**;8;56.5;9;46.75;2;-0.5;8.5

12a;Suppiger René;***;;;;;;;;;55.5
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Bühler Ernst;**;11;55.75;1;10.0;-4;1.5;9.75
+;7;18.25;Riget Ivan;*;21;53.25;6;18.5;-1;0.25;10.0
+;5;28.25;Orlik Curdin;**;11;55.75;3;28.75;-2;0.5;9.75
o;5;38.0;Forrer Arnold;***;4;57.5;6;37.75;1;-0.25;8.5
-;10;46.5;Eugster Ruedi;**;11;55.75;9;46.75;-1;0.25;9.0

12b;Dumelin David;*;;;;;;;;;55.5
-;;;Riget Ivan;*;;;;;;;8.75
+;4;8.75;Battaglia Ursin;**;11;55.75;3;9.0;-1;0.25;10.0
o;5;18.75;Orlik Curdin;**;11;55.75;5;18.75;0;0.0;8.5
+;9;27.25;Junker Nik;;14;55.0;6;28.0;-3;0.75;10.0
+;8;37.25;Bernold Edi;**;11;55.75;7;37.5;-1;0.25;9.75
o;8;47.0;Klausner Yanick;**;8;56.5;9;46.75;1;-0.25;8.5

12c;Baumann Rico;*;;;;;;;;;55.5
o;;;Biäsch Christian;*;;;;;;;8.5
-;5;8.5;Korrodi Paul;*;17;54.25;5;8.5;0;0.0;8.75
+;9;17.25;Braun Mathias;*;26;35.5;7;18.25;-2;1.0;10.0
+;9;27.25;Jörger Corsin;;22;53.0;9;27.25;0;0.0;10.0
o;8;37.25;Schlegel Sandro;**;9;56.25;8;37.25;0;0.0;8.5
+;13;45.75;Koch Reto;;18;54.0;15;45.25;2;-0.5;9.75

12d;Fejzaj Naim;**;;;;;;;;;55.5
+;;;Zbinden Marc;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;2;58.25;1;10.0;0;0.0;8.5
+;6;18.5;Rütsche Stefan;*;18;54.0;7;18.25;1;-0.25;10.0
o;4;28.5;Burkhalter Stefan;***;6;57.0;5;28.25;1;-0.25;8.5
