2805-2015-04-26_Fete_cantonale_Fribourgeoise-ST

1a;Sempach Matthias;***;;;;;;;;;59.5
+;6;28.0;Remy Guillaume;**;16;54.25;5;28.25;-1;0.25;10.0
o;6;38.0;Overney Olivier;*;6;56.75;6;38.0;0;0.0;8.5
-;9;46.5;Matthey Mickaël;**;28;44.75;16;44.75;7;-1.75;9.0

12a;Liaudat Rudy;*;;;;;;;;;55.25
-;;;Brand Andreas;*;;;;;;;8.75
+;4;8.75;Delabays Alexandre;;26;45.5;2;9.75;-2;1.0;10.0
-;5;18.75;Gottofrey Marc;*;5;57.0;5;18.75;0;0.0;8.75
-;8;27.5;Cardinaux Victor;;8;56.25;6;28.0;-2;0.5;8.75
-;13;36.25;Zimmermann Mario;;8;56.25;8;37.5;-5;1.25;9.0
+;14;45.25;Von Niederhäusern Martin;;15;54.5;11;46.0;-3;0.75;10.0

12b;Schwander Severin;;;;;;;;;;55.25
+;;;Kilchoer Alain;;;;;;;;9.75
o;2;9.75;Derron Cédric;*;11;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Gauch Bastien;;14;54.75;7;18.25;0;0.0;10.0
o;5;28.25;Mauron Olivier;*;7;56.5;5;28.25;0;0.0;8.5
+;11;36.75;Schafer Damien;;12;55.25;11;36.75;0;0.0;10.0
o;8;46.75;Gapany Benjamin;**;6;56.75;8;46.75;0;0.0;8.5

12c;Gothuey Jean-Pierre;*;;;;;;;;;55.25
o;;;Mauron Olivier;*;;;;;;;8.5
+;5;8.5;Gauch Bastien;;14;54.75;2;9.75;-3;1.25;10.0
o;6;18.5;Kropf Thomas;*;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Forster Sämi (1997);;18;53.75;5;28.25;-5;1.25;9.75
+;11;36.75;Ducry Antoine;;11;55.5;9;37.25;-2;0.5;10.0
o;8;46.75;Dind Samuel;**;7;56.5;9;46.5;1;-0.25;8.5

12d;Droxler Jonathan;*;;;;;;;;;55.25
-;;;Häni William;**;;;;;;;8.75
o;4;8.75;Guisolan Marc;**;5;57.0;1;10.0;-3;1.25;8.5
+;10;17.25;Barras André;;9;56.0;5;18.75;-5;1.5;9.75
+;10;27.0;Kramer Dorian (1999);;19;53.5;6;28.0;-4;1.0;10.0
+;10;37.0;Kilchoer Alain;;11;55.5;10;37.0;0;0.0;9.75
o;8;46.75;Pellet Michael;**;7;56.5;8;46.75;0;0.0;8.5

12e;Derron Julien (1997);;;;;;;;;;55.25
-;;;Leuenberger Marc;;;;;;;;8.75
+;4;8.75;Dufey Gil (1997);;30;35.5;4;8.75;0;0.0;9.75
o;6;18.5;Pasche Bernard;**;13;55.0;7;18.25;1;-0.25;8.5
+;10;27.0;Roulet Denis;;31;35.25;11;26.75;1;-0.25;10.0
+;10;37.0;Buchs Julien (1999);;17;54.0;10;37.0;0;0.0;9.75
o;8;46.75;Kropf Rolf;**;6;56.75;7;47.0;-1;0.25;8.5

12f;Minder Florian;;;;;;;;;;55.25
-;;;Parvex François;**;;;;;;;9.0
+;3;9.0;Cotting Florian;;17;54.0;2;9.75;-1;0.75;10.0
+;4;19.0;Vaucher Rémy (1999);;13;55.0;6;18.5;2;-0.5;10.0
o;2;29.0;Borcard Johann;*;9;56.0;4;28.5;2;-0.5;8.75
o;7;37.75;Brodard Augustin;**;9;56.0;8;37.5;1;-0.25;8.75
-;9;46.5;Mosimann Vincent;*;17;54.0;14;45.25;5;-1.25;8.75

12g;Parvex François;**;;;;;;;;;55.25
-;;;Minder Florian;;;;;;;;8.75
o;4;8.75;Casarico Fabio;;3;57.5;1;10.0;-3;1.25;8.5
