3261-2016-05-08_93_Schwyzer_Kant_Schwing-_und_Aelplerfest-ST

1a;Heinzer Stefan;*;;;;;;;;;113.0
-;;;Kenel Franz-Toni;*;;;;;;;8.75
-;6;8.75;Inderbitzin Daniel;*;14;54.75;6;8.75;0;0.0;8.75
+;12;17.5;Gisler Mike;;17;54.0;8;18.5;-4;1.0;10.0
-;10;27.5;Schuler Daniel;;10;55.75;7;28.25;-3;0.75;8.75
+;13;36.25;Flück Bruno;;14;54.75;12;36.5;-1;0.25;9.75
o;13;46.0;Bisig Thomas;**;8;56.25;12;46.25;-1;0.25;8.5

15b;Keller Janik;;;;;;;;;;54.5
-;;;Herger Peter;;;;;;;;9.0
+;5;9.0;Ehrler Reto (2000);;23;52.5;7;8.5;2;-0.5;10.0
o;6;19.0;Muff Armin;**;5;57.0;8;18.5;2;-0.5;8.5
+;10;27.5;Meier Marcel;;11;55.5;12;27.0;2;-0.5;9.75
o;9;37.25;Gasser Stefan;**;5;57.0;10;37.0;1;-0.25;8.5
-;14;45.75;Elsener Manuel;;15;54.5;14;45.75;0;0.0;8.75

15c;Elsener Peter;**;;;;;;;;;54.5
-;;;Gwerder Christian;**;;;;;;;9.0
-;5;9.0;Lüönd Andreas;**;13;55.0;6;8.75;1;-0.25;8.75
+;11;17.75;Reichmuth Lukas (2000);;11;55.5;7;18.75;-4;1.0;9.75
+;10;27.5;Suter Paul;;8;56.25;7;28.25;-3;0.75;9.75
o;9;37.25;Grab Daniel;**;11;55.5;9;37.25;0;0.0;8.5
-;14;45.75;Beffa Mario;;14;54.75;13;46.0;-1;0.25;8.75

15d;Elsener Manuel;;;;;;;;;;54.5
o;;;Eﬃnger Peter;;;;;;;;8.5
+;7;8.5;Bamert Marco (1999);;17;54.0;7;8.5;0;0.0;10.0
-;8;18.5;Gwerder Christian;**;13;55.0;12;17.5;4;-1.0;8.75
o;11;27.25;Ulrich Marcel;;12;55.25;12;27.0;1;-0.25;8.5
+;15;35.75;Forster Christian;;17;54.0;16;35.5;1;-0.25;10.0
-;14;45.75;Keller Janik;;15;54.5;14;45.75;0;0.0;8.75

15e;Gwerder Andreas;*;;;;;;;;;54.5
o;;;Heinzer Stefan;*;;;;;;;8.5
-;7;8.5;Hösli Fritz;*;14;54.75;6;8.75;-1;0.25;8.75
+;13;17.25;Andermatt Adrian;;16;54.25;8;18.5;-5;1.25;10.0
-;11;27.25;Küttel Samuel;;14;54.75;7;28.25;-4;1.0;8.75
o;14;36.0;Baur Martin;;13;55.0;11;36.75;-3;0.75;8.5
+;19;44.5;Hürlimann Mathias (2000);;16;54.25;14;45.75;-5;1.25;10.0

15f;Elsener Kilian;;;;;;;;;;54.5
+;;;Ulrich Marcel;;;;;;;;9.75
-;4;9.75;Heinzer Josef;;11;55.5;4;9.75;0;0.0;8.75
-;8;18.5;Lüönd Andreas;**;13;55.0;12;17.5;4;-1.0;8.75
+;11;27.25;Marty Lukas (1998);;18;53.75;12;27.0;1;-0.25;10.0
-;9;37.25;Blaser Theo;*;13;55.0;9;37.25;0;0.0;8.75
o;13;46.0;Eﬃnger Markus;*;11;55.5;14;45.75;1;-0.25;8.5

15g;Käslin Ruedi;;;;;;;;;;54.5
-;;;Flück Bruno;;;;;;;;8.75
+;6;8.75;Andermatt Erwin (1999);;27;35.25;4;9.75;-2;1.0;10.0
o;7;18.75;Gwerder Dario;;6;56.75;9;18.25;2;-0.5;8.5
o;11;27.25;Heinzer Josef;;11;55.5;10;27.5;-1;0.25;8.75
-;14;36.0;Lüönd Andreas;**;13;55.0;13;36.25;-1;0.25;8.75
+;18;44.75;Föhn Michael (1999);;18;53.75;16;45.25;-2;0.5;9.75

15h;Horner Peter;**;;;;;;;;;54.5
+;;;Schelbert Ralf;**;;;;;;;9.75
-;4;9.75;Müllestein Mike;**;5;57.0;6;8.75;2;-1.0;8.75
+;8;18.5;Nauer Fabian;;17;54.0;6;19.0;-2;0.5;9.75
-;7;28.25;Schürpf Guido;;9;56.0;5;28.75;-2;0.5;8.75
-;10;37.0;Zimmermann Daniel;*;10;55.75;10;37.0;0;0.0;8.75
-;14;45.75;Küttel Samuel;;14;54.75;13;46.0;-1;0.25;8.75

15i;Reichmuth Roland;;;;;;;;;;54.5
-;;;Suter Samuel (1999);;;;;;;;9.0
+;5;9.0;Stutzer Michael (1999);;17;54.0;6;8.75;1;-0.25;9.75
o;7;18.75;Gwerder Guido;**;8;56.25;11;17.75;4;-1.0;8.5
o;11;27.25;Gwerder Beni;;15;54.5;10;27.5;-1;0.25;8.75
+;14;36.0;Grab Martin jun. (1999);;18;53.75;11;36.75;-3;0.75;10.0
o;13;46.0;Egli Pirmin;**;11;55.5;14;45.75;1;-0.25;8.5

15j;Gwerder Beni;;;;;;;;;;54.5
-;;;Nauer Fabian;;;;;;;;9.0
+;5;9.0;Egli Christian;;23;52.5;7;8.5;2;-0.5;10.0
o;6;19.0;Theiler Beat;*;12;55.25;8;18.5;2;-0.5;8.5
+;10;27.5;Reichmuth Roland;;15;54.5;11;27.25;1;-0.25;9.75
o;9;37.25;Bieri Marcel;**;7;56.5;8;37.5;-1;0.25;8.5
o;14;45.75;Schürpf Bruno;;11;55.5;14;45.75;0;0.0;8.75

15k;Bürgi Tobias;;;;;;;;;;54.5
+;;;Stutzer Michael (1999);;;;;;;;9.75
-;4;9.75;Reichmuth Lukas (2000);;11;55.5;4;9.75;0;0.0;9.0
o;7;18.75;Bucher Roland;*;7;56.5;8;18.5;1;-0.25;8.5
-;11;27.25;Durrer Nando (1999);;20;53.25;11;27.25;0;0.0;9.0
o;13;36.25;Bucher Thomas;;13;55.0;12;36.5;-1;0.25;8.5
+;18;44.75;Baumann Marco;;21;53.0;19;44.5;1;-0.25;9.75

16a;Ulrich Marco;;;;;;;;;;54.25
+;;;Meier Andreas;;;;;;;;9.75
+;4;9.75;Betschart Michael;;12;55.25;4;9.75;0;0.0;10.0
o;4;19.75;Betschart Remo;**;5;57.0;7;18.75;3;-1.0;8.5
-;7;28.25;Kälin Remo;*;13;55.0;11;27.25;4;-1.0;8.75
o;10;37.0;Kenel Franz-Toni;*;12;55.25;10;37.0;0;0.0;8.5
-;15;45.5;Klauser Nico;;16;54.25;15;45.5;0;0.0;8.75

16b;Huber Alex;;;;;;;;;;54.25
o;;;Gwerder Michael (2000);;;;;;;;8.5
+;7;8.5;Brunner Timon (1998);;22;52.75;7;8.5;0;0.0;10.0
+;8;18.5;Annen David (2000);;27;35.25;9;18.25;1;-0.25;10.0
o;6;28.5;Linggi Bruno;**;7;56.5;9;27.75;3;-0.75;8.5
-;10;37.0;Schürpf Bruno;;11;55.5;10;37.0;0;0.0;8.75
o;14;45.75;Betschart Patrick (1999);;11;55.5;14;45.75;0;0.0;8.5

16c;Herger Andreas;;;;;;;;;;54.25
-;;;Zimmermann Armin;;;;;;;;8.75
+;6;8.75;Inderbitzin Karl;;27;35.25;4;9.75;-2;1.0;10.0
o;7;18.75;Linggi Bruno;**;7;56.5;10;18.0;3;-0.75;8.5
o;11;27.25;Heinzer Florian;;16;54.25;11;27.25;0;0.0;8.5
o;15;35.75;Eﬃnger Peter;;13;55.0;12;36.5;-3;0.75;8.5
+;20;44.25;Schönbächler Lukas;;22;52.75;20;44.25;0;0.0;10.0

16d;Müller Dominik;;;;;;;;;;54.25
+;;;Forster Christian;;;;;;;;9.75
o;4;9.75;Schindler Thomas;;17;54.0;4;9.75;0;0.0;8.5
+;9;18.25;Birchler Fabian (2000);;18;53.75;9;18.25;0;0.0;9.75
o;8;28.0;Müllestein Mike;**;5;57.0;10;27.5;2;-0.5;8.5
-;12;36.5;Nauer Robin;;12;55.25;12;36.5;0;0.0;9.0
o;15;45.5;Reichmuth Lukas (2000);;11;55.5;15;45.5;0;0.0;8.75

16e;Suter Ruedi (1998);;;;;;;;;;54.25
+;;;Von Euw Adi;;;;;;;;10.0
o;3;10.0;Nauer Robin;;12;55.25;4;9.75;1;-0.25;8.5
o;8;18.5;Kälin Remo;*;13;55.0;13;17.25;5;-1.25;8.5
o;12;27.0;Inderbitzin Urs;;18;53.75;12;27.0;0;0.0;8.5
-;16;35.5;Andermatt Adrian;;16;54.25;16;35.5;0;0.0;8.75
+;20;44.25;Gabriel Christian (2000);;22;52.75;20;44.25;0;0.0;10.0

16f;Suter Beat;;;;;;;;;;54.25
+;;;Mächler Thomas;;;;;;;;10.0
o;3;10.0;Betschart Daniel;;11;55.5;4;9.75;1;-0.25;8.5
o;8;18.5;Schuler Philipp;**;7;56.5;12;17.5;4;-1.0;8.5
+;12;27.0;Wild Kilian (1998);;27;35.25;13;26.75;1;-0.25;10.0
o;10;37.0;Schürpf Guido;;9;56.0;8;37.5;-2;0.5;8.75
o;14;45.75;Heinzer Josef;;11;55.5;14;45.75;0;0.0;8.5

16g;Walker Roger;;;;;;;;;;54.25
+;;;Betschart Patrick (1999);;;;;;;;10.0
-;3;10.0;Schelbert Roman;;14;54.75;3;10.0;0;0.0;9.0
o;6;19.0;Kälin Roland;**;9;56.0;8;18.5;2;-0.5;8.5
o;10;27.5;Grab Daniel;**;11;55.5;11;27.25;1;-0.25;8.5
+;14;36.0;Schönbächler Lukas;;22;52.75;15;35.75;1;-0.25;9.75
o;14;45.75;Zimmermann Daniel;*;10;55.75;14;45.75;0;0.0;8.5

16h;Bircher Vital;*;;;;;;;;;54.25
o;;;Kälin Roland;**;;;;;;;8.5
-;7;8.5;Eﬃnger Markus;*;11;55.5;7;8.5;0;0.0;8.75
+;13;17.25;Suter Pirmin;;17;54.0;8;18.5;-5;1.25;9.75
-;12;27.0;Corvi Dominik;;13;55.0;9;27.75;-3;0.75;8.75
o;15;35.75;Beffa Mario;;14;54.75;14;36.0;-1;0.25;8.5
+;20;44.25;Birchler Fabian (2000);;18;53.75;16;45.25;-4;1.0;10.0

16i;Elsener Marcel;;;;;;;;;;54.25
+;;;Knobel Guido;;;;;;;;10.0
-;3;10.0;Heinzer Florian;;16;54.25;3;10.0;0;0.0;8.75
o;7;18.75;Höﬂiger Andreas;**;10;55.75;9;18.25;2;-0.5;8.5
+;11;27.25;Reichmuth Lukas (2000);;11;55.5;11;27.25;0;0.0;9.75
o;10;37.0;Schuler Daniel;;10;55.75;9;37.25;-1;0.25;8.5
-;15;45.5;Nauer Fabian;;17;54.0;16;45.25;1;-0.25;8.75

16j;Herger Peter;;;;;;;;;;54.25
-;;;Keller Janik;;;;;;;;8.75
+;6;8.75;Wild Kilian (1998);;27;35.25;4;9.75;-2;1.0;9.75
o;8;18.5;Müllestein Mike;**;5;57.0;12;17.5;4;-1.0;8.5
o;12;27.0;Suter Pirmin;;17;54.0;12;27.0;0;0.0;8.5
-;16;35.5;Greter Daniel;;22;52.75;16;35.5;0;0.0;8.75
+;20;44.25;Ulrich Roman (2000);;19;53.5;17;45.0;-3;0.75;10.0

16k;Schindler Roland;;;;;;;;;;54.25
o;;;Moos Christoph;;;;;;;;8.5
+;7;8.5;Schmid Pirmin (2000);;27;35.25;7;8.5;0;0.0;10.0
-;8;18.5;Inderbitzin Daniel;*;14;54.75;12;17.5;4;-1.0;8.75
+;11;27.25;Brunner Timon (1998);;22;52.75;12;27.0;1;-0.25;9.75
o;10;37.0;Heinzer Stefan;*;1;113.0;2;73.75;-8;36.75;8.5
-;15;45.5;Bär Leo;;16;54.25;15;45.5;0;0.0;8.75

16l;Ulrich Damian (1999);;;;;;;;;;54.25
o;;;Staub Devin (1998);;;;;;;;8.5
-;7;8.5;Kennel Roger (1999);;22;52.75;7;8.5;0;0.0;8.75
+;13;17.25;Stalder Florian (1999);;30;34.25;13;17.25;0;0.0;10.0
o;11;27.25;Kenel Franz-Toni;*;12;55.25;12;27.0;1;-0.25;8.5
o;15;35.75;Hürlimann Mathias (2000);;16;54.25;15;35.75;0;0.0;8.5
+;20;44.25;Ehrler Reto (2000);;23;52.5;21;44.0;1;-0.25;10.0

16m;Bär Leo;;;;;;;;;;54.25
o;;;Küttel Samuel;;;;;;;;8.5
o;7;8.5;Heinzer Ronny;;11;55.5;6;8.75;-1;0.25;8.5
+;14;17.0;Diethelm Andreas (2000);;30;34.25;13;17.25;-1;0.25;9.75
+;13;26.75;Weber Manuel (1999);;27;35.25;13;26.75;0;0.0;10.0
-;11;36.75;Eﬃnger Markus;*;11;55.5;15;35.75;4;-1.0;8.75
-;15;45.5;Schindler Roland;;16;54.25;15;45.5;0;0.0;8.75

16n;Andermatt Adrian;;;;;;;;;;54.25
o;;;Heinzer Josef;;;;;;;;8.5
+;7;8.5;Ritz Philipp;;32;25.5;7;8.5;0;0.0;10.0
o;8;18.5;Gwerder Andreas;*;15;54.5;13;17.25;5;-1.25;8.5
o;12;27.0;Heinzer Ronny;;11;55.5;11;27.25;-1;0.25;8.5
-;16;35.5;Suter Ruedi (1998);;16;54.25;16;35.5;0;0.0;9.0
+;19;44.5;Marty Lukas (1998);;18;53.75;16;45.25;-3;0.75;9.75

16o;Klauser Nico;;;;;;;;;;54.25
o;;;Schelbert Roman;;;;;;;;8.5
-;7;8.5;Bruhin Fredi;;10;55.75;5;9.0;-2;0.5;8.75
+;13;17.25;Schuler Thomas;;29;34.5;12;17.5;-1;0.25;9.75
o;12;27.0;Diethelm Albert;*;11;55.5;12;27.0;0;0.0;8.5
+;16;35.5;Ehrler Reto (2000);;23;52.5;16;35.5;0;0.0;10.0
-;15;45.5;Ulrich Marco;;16;54.25;15;45.5;0;0.0;8.75

16p;Hürlimann Mathias (2000);;;;;;;;;;54.25
+;;;Brunner Timon (1998);;;;;;;;9.75
-;4;9.75;Beffa Mario;;14;54.75;3;10.0;-1;0.25;8.75
o;8;18.5;Kennel Beat;*;14;54.75;13;17.25;5;-1.25;8.5
-;12;27.0;Gwerder Dominik;;14;54.75;12;27.0;0;0.0;8.75
+;15;35.75;Ulrich Damian (1999);;16;54.25;15;35.75;0;0.0;10.0
o;14;45.75;Gwerder Andreas;*;15;54.5;19;44.5;5;-1.25;8.5

16q;Heinzer Florian;;;;;;;;;;54.25
+;;;Hurschler Michael;;;;;;;;10.0
-;3;10.0;Elsener Marcel;;16;54.25;3;10.0;0;0.0;8.75
o;7;18.75;Föhn Franz;**;5;57.0;8;18.5;1;-0.25;8.5
+;11;27.25;Herger Andreas;;16;54.25;11;27.25;0;0.0;9.75
o;10;37.0;Nietlispach Pascal;**;12;55.25;10;37.0;0;0.0;8.75
o;14;45.75;Lagler Christian;;11;55.5;14;45.75;0;0.0;8.5

17a;Bamert Marco (1999);;;;;;;;;;54.0
o;;;Bösch Dario (1999);;;;;;;;8.5
o;7;8.5;Elsener Manuel;;15;54.5;7;8.5;0;0.0;8.5
o;14;17.0;Würsch Adrian;;18;53.75;14;17.0;0;0.0;8.5
+;18;25.5;Stalder Florian (1999);;30;34.25;17;25.75;-1;0.25;10.0
o;16;35.5;Von Euw Adi;;17;54.0;16;35.5;0;0.0;8.5
+;21;44.0;Wiget Ueli (1999);;23;52.5;21;44.0;0;0.0;10.0

17b;Forster Christian;;;;;;;;;;54.0
o;;;Müller Dominik;;;;;;;;8.5
o;7;8.5;Ulrich Pascal (1999);;12;55.25;6;8.75;-1;0.25;8.75
+;13;17.25;Bingisser Roman;;17;54.0;14;17.0;1;-0.25;9.75
o;12;27.0;Baumann Roger;*;14;54.75;15;26.25;3;-0.75;8.5
o;16;35.5;Elsener Manuel;;15;54.5;15;35.75;-1;0.25;8.5
+;21;44.0;Krieg Silvan (2000);;23;52.5;21;44.0;0;0.0;10.0

17c;Schilter Daniel;;;;;;;;;;54.0
+;;;Kennel Roger (1999);;;;;;;;10.0
o;3;10.0;Schuler Daniel;;10;55.75;4;9.75;1;-0.25;8.5
o;8;18.5;Reichmuth Marco;*;12;55.25;11;17.75;3;-0.75;8.5
+;12;27.0;Gisler Mike;;17;54.0;12;27.0;0;0.0;10.0
o;10;37.0;Föhn Franz;**;5;57.0;10;37.0;0;0.0;8.5
o;15;45.5;Hurschler Adrian;;12;55.25;15;45.5;0;0.0;8.5

17d;Von Euw Adi;;;;;;;;;;54.0
o;;;Suter Ruedi (1998);;;;;;;;8.5
o;7;8.5;Gwerder Marco;;13;55.0;7;8.5;0;0.0;8.5
+;14;17.0;Kälin Dominik (1999);;30;34.25;13;17.25;-1;0.25;10.0
o;12;27.0;Hösli Fritz;*;14;54.75;16;26.0;4;-1.0;8.5
+;16;35.5;Bamert Marco (1999);;17;54.0;16;35.5;0;0.0;10.0
o;15;45.5;Suter Samuel (1999);;14;54.75;17;45.0;2;-0.5;8.5

17e;Durrer Fabian (1999);;;;;;;;;;54.0
+;;;Schuler Koni;;;;;;;;9.75
o;4;9.75;Schmid Köbi;;10;55.75;4;9.75;0;0.0;8.5
+;9;18.25;Greter Daniel;;22;52.75;8;18.5;-1;0.25;10.0
o;7;28.25;Schuler Philipp;**;7;56.5;10;27.5;3;-0.75;8.5
o;11;36.75;Betschart Silvan;*;12;55.25;11;36.75;0;0.0;8.75
o;15;45.5;Hegner Ueli (1999);;11;55.5;15;45.5;0;0.0;8.5

17f;Schindler Thomas;;;;;;;;;;54.0
+;;;Wattenhofer Charly (1998);;;;;;;;9.75
+;4;9.75;Müller Dominik;;16;54.25;4;9.75;0;0.0;10.0
o;4;19.75;Nötzli Reto;***;6;56.75;7;18.75;3;-1.0;8.5
-;7;28.25;Bisig Thomas;**;8;56.25;10;27.5;3;-0.75;8.75
o;10;37.0;Bieri Christian;*;11;55.5;10;37.0;0;0.0;8.5
o;15;45.5;Meier Marcel;;11;55.5;15;45.5;0;0.0;8.5

17g;Gisler Mike;;;;;;;;;;54.0
o;;;Supper Frederik;;;;;;;;8.5
+;7;8.5;Würsch Adrian;;18;53.75;7;8.5;0;0.0;10.0
o;8;18.5;Landolt Reto;*;15;54.5;12;17.5;4;-1.0;8.5
o;12;27.0;Schilter Daniel;;17;54.0;12;27.0;0;0.0;8.5
+;16;35.5;Meier Andreas;;24;44.25;15;35.75;-1;0.25;10.0
o;15;45.5;Baumann Lukas;;13;55.0;16;45.25;1;-0.25;8.5

17h;Stutzer Michael (1999);;;;;;;;;;54.0
o;;;Bürgi Tobias;;;;;;;;8.75
o;6;8.75;Reichmuth Roland;;15;54.5;5;9.0;-1;0.25;8.5
o;13;17.25;Hurschler Michael;;18;53.75;13;17.25;0;0.0;8.5
+;17;25.75;Kälin Dominik (1999);;30;34.25;17;25.75;0;0.0;10.0
o;15;35.75;Hösli Fritz;*;14;54.75;14;36.0;-1;0.25;8.5
+;20;44.25;Egli Christian;;23;52.5;21;44.0;1;-0.25;9.75

17i;Bingisser Roman;;;;;;;;;;54.0
o;;;Grab Martin jun. (1999);;;;;;;;8.5
o;7;8.5;Meier Marcel;;11;55.5;7;8.5;0;0.0;8.5
o;14;17.0;Forster Christian;;17;54.0;13;17.25;-1;0.25;8.5
+;18;25.5;Hillebrandt Patrick;;30;34.25;17;25.75;-1;0.25;10.0
+;16;35.5;Egli Christian;;23;52.5;16;35.5;0;0.0;10.0
o;15;45.5;Lüönd Andreas;**;13;55.0;17;45.0;2;-0.5;8.5

17j;Nauer Fabian;;;;;;;;;;54.0
-;;;Gwerder Beni;;;;;;;;9.0
+;5;9.0;Zimmermann Armin;;19;53.5;6;8.75;1;-0.25;10.0
o;6;19.0;Horner Peter;**;15;54.5;8;18.5;2;-0.5;8.5
-;10;27.5;Staub Devin (1998);;14;54.75;11;27.25;1;-0.25;9.0
-;12;36.5;Widmer Thomas;;20;53.25;14;36.0;2;-0.5;8.75
-;16;45.25;Elsener Marcel;;16;54.25;15;45.5;-1;0.25;8.75

17k;Mächler Thomas;;;;;;;;;;54.0
o;;;Suter Beat;;;;;;;;8.5
+;7;8.5;Hillebrandt Patrick;;30;34.25;7;8.5;0;0.0;9.75
+;9;18.25;Annen David (2000);;27;35.25;9;18.25;0;0.0;9.75
o;8;28.0;Bürgler Lukas;;11;55.5;11;27.25;3;-0.75;8.5
o;12;36.5;Kälin Remo;*;13;55.0;13;36.25;1;-0.25;8.5
-;17;45.0;Betschart Fabian (1999);;19;53.5;19;44.5;2;-0.5;9.0

17l;Suter Pirmin;;;;;;;;;;54.0
+;;;Zimmermann Reto (1998);;;;;;;;9.75
o;4;9.75;Bucher Thomas;;13;55.0;4;9.75;0;0.0;8.75
o;8;18.5;Bircher Vital;*;16;54.25;13;17.25;5;-1.25;8.5
+;12;27.0;Herger Peter;;16;54.25;12;27.0;0;0.0;10.0
o;10;37.0;Zimmermann Martin;**;2;111.5;1;74.0;-9;37.0;8.5
o;15;45.5;Supper Frederik;;12;55.25;15;45.5;0;0.0;8.5

18a;Würsch Adrian;;;;;;;;;;53.75
o;;;Schuler Daniel;;;;;;;;8.5
o;7;8.5;Gisler Mike;;17;54.0;7;8.5;0;0.0;8.5
+;14;17.0;Bamert Marco (1999);;17;54.0;14;17.0;0;0.0;9.75
+;13;26.75;Inderbitzin Karl;;27;35.25;13;26.75;0;0.0;10.0
o;11;36.75;Gwerder Christian;**;13;55.0;12;36.5;1;-0.25;8.5
o;16;45.25;Arnold Marcel;;12;55.25;16;45.25;0;0.0;8.5

18b;Deck Thomas (2000);;;;;;;;;;53.75
o;;;Marty Lukas (1998);;;;;;;;8.5
+;7;8.5;Krieg Silvan (2000);;23;52.5;7;8.5;0;0.0;9.75
+;9;18.25;Kälin Marco (2000);;27;35.25;9;18.25;0;0.0;10.0
o;7;28.25;Waser Reto;*;9;56.0;10;27.5;3;-0.75;8.5
o;11;36.75;Corvi Dominik;;13;55.0;12;36.5;1;-0.25;8.5
o;16;45.25;Betschart Michael;;12;55.25;16;45.25;0;0.0;8.5

18c;Föhn Michael (1999);;;;;;;;;;53.75
o;;;Nauer Robin;;;;;;;;8.5
+;7;8.5;Huwiler Roman (1998);;31;34.0;7;8.5;0;0.0;10.0
o;8;18.5;Eﬃnger Markus;*;11;55.5;13;17.25;5;-1.25;8.5
o;12;27.0;Baur Martin;;13;55.0;12;27.0;0;0.0;8.5
+;16;35.5;Brunner Timon (1998);;22;52.75;16;35.5;0;0.0;9.75
o;16;45.25;Käslin Ruedi;;15;54.5;18;44.75;2;-0.5;8.5

18d;Hurschler Michael;;;;;;;;;;53.75
o;;;Heinzer Florian;;;;;;;;8.5
-;7;8.5;Schuler Thomas;;29;34.5;6;8.75;-1;0.25;8.75
+;13;17.25;Stutzer Michael (1999);;17;54.0;13;17.25;0;0.0;9.75
+;12;27.0;Weber Manuel (1999);;27;35.25;13;26.75;1;-0.25;9.75
o;11;36.75;Gwerder Dario;;6;56.75;11;36.75;0;0.0;8.5
o;16;45.25;Diethelm Albert;*;11;55.5;15;45.5;-1;0.25;8.5

18e;Inderbitzin Urs;;;;;;;;;;53.75
o;;;Schürpf Bruno;;;;;;;;8.5
+;7;8.5;Fässler Adrian (2000);;27;35.25;7;8.5;0;0.0;10.0
o;8;18.5;Heinzer Stefan;*;1;113.0;1;36.5;-7;18.0;8.5
+;12;27.0;Suter Ruedi (1998);;16;54.25;12;27.0;0;0.0;9.75
o;11;36.75;Gwerder Michael (2000);;11;55.5;10;37.0;-1;0.25;8.5
o;16;45.25;Gwerder Marco;;13;55.0;16;45.25;0;0.0;8.5

18f;Grab Martin jun. (1999);;;;;;;;;;53.75
+;;;Bingisser Roman;;;;;;;;9.75
+;4;9.75;Wiget Ueli (1999);;23;52.5;3;10.0;-1;0.25;10.0
o;4;19.75;Fässler Cornel;*;8;56.25;7;18.75;3;-1.0;8.5
o;7;28.25;Egli Pirmin;**;11;55.5;11;27.25;4;-1.0;8.5
o;11;36.75;Reichmuth Roland;;15;54.5;14;36.0;3;-0.75;8.5
o;16;45.25;Ulrich Pascal (1999);;12;55.25;15;45.5;-1;0.25;8.5

18g;Schnyder Christian;;;;;;;;;;53.75
o;;;Corvi Dominik;;;;;;;;8.5
+;7;8.5;Stalder Florian (1999);;30;34.25;6;8.75;-1;0.25;10.0
o;8;18.5;Waser Reto;*;9;56.0;12;17.5;4;-1.0;8.5
+;12;27.0;Knobel Guido;;27;35.25;13;26.75;1;-0.25;9.75
o;11;36.75;Betschart Daniel;;11;55.5;11;36.75;0;0.0;8.5
o;16;45.25;Heinzer Ronny;;11;55.5;15;45.5;-1;0.25;8.5

18h;Birchler Fabian (2000);;;;;;;;;;53.75
+;;;Schilliger Sven (2000);;;;;;;;9.75
o;4;9.75;Kessler Joel;;8;56.25;3;10.0;-1;0.25;8.5
o;9;18.25;Müller Dominik;;16;54.25;9;18.25;0;0.0;8.5
+;13;26.75;Andermatt Erwin (1999);;27;35.25;13;26.75;0;0.0;10.0
o;11;36.75;Baumann Roger;*;14;54.75;13;36.25;2;-0.5;8.5
o;16;45.25;Bircher Vital;*;16;54.25;20;44.25;4;-1.0;8.5

18i;Schilliger Sven (2000);;;;;;;;;;53.75
o;;;Birchler Fabian (2000);;;;;;;;8.5
+;7;8.5;Schraven Michael;;31;34.0;7;8.5;0;0.0;9.75
+;9;18.25;Kälin Marco (2000);;27;35.25;9;18.25;0;0.0;10.0
o;7;28.25;Gwerder Guido;**;8;56.25;10;27.5;3;-0.75;8.5
o;11;36.75;Kessler Joel;;8;56.25;9;37.25;-2;0.5;8.5
o;16;45.25;Ulrich Marcel;;12;55.25;16;45.25;0;0.0;8.5

18j;Bösch Dario (1999);;;;;;;;;;53.75
+;;;Bamert Marco (1999);;;;;;;;9.75
o;4;9.75;Moos Christoph;;9;56.0;4;9.75;0;0.0;8.5
+;9;18.25;Horner Sämi;;19;53.5;9;18.25;0;0.0;10.0
o;7;28.25;Höﬂiger Andreas;**;10;55.75;8;28.0;1;-0.25;8.5
o;11;36.75;Fässler Cornel;*;8;56.25;9;37.25;-2;0.5;8.5
o;16;45.25;Rogenmoser Ryan (1999);;12;55.25;16;45.25;0;0.0;8.5

18k;Marty Lukas (1998);;;;;;;;;;53.75
+;;;Deck Thomas (2000);;;;;;;;10.0
o;3;10.0;Gwerder Michael (2000);;11;55.5;4;9.75;1;-0.25;8.5
o;8;18.5;Waser Dominik;**;7;56.5;9;18.25;1;-0.25;8.5
o;12;27.0;Elsener Kilian;;15;54.5;11;27.25;-1;0.25;8.5
+;16;35.5;Gabriel Christian (2000);;22;52.75;15;35.75;-1;0.25;9.75
o;16;45.25;Andermatt Adrian;;16;54.25;19;44.5;3;-0.75;8.5

18l;Zimmermann Fabian;;;;;;;;;;53.75
o;;;Schürpf Guido;;;;;;;;8.5
o;7;8.5;Betschart Patrick (1999);;11;55.5;6;8.75;-1;0.25;8.5
o;14;17.0;Brunner Timon (1998);;22;52.75;14;17.0;0;0.0;8.5
+;18;25.5;Deuber Mathias (2000);;31;34.0;18;25.5;0;0.0;10.0
+;16;35.5;Kennel Roger (1999);;22;52.75;16;35.5;0;0.0;9.75
o;16;45.25;Diener Pirmin;*;14;54.75;18;44.75;2;-0.5;8.5

19a;Betschart Fabian (1999);;;;;;;;;;53.5
+;;;Suter Stefan (2000);;;;;;;;10.0
o;3;10.0;Zgraggen Fabian;;12;55.25;3;10.0;0;0.0;8.5
o;8;18.5;Elsener Adrian;**;10;55.75;12;17.5;4;-1.0;8.5
-;12;27.0;Meier Andreas;;24;44.25;12;27.0;0;0.0;8.75
-;15;35.75;Gwerder Dominik;;14;54.75;14;36.0;-1;0.25;8.75
-;19;44.5;Mächler Thomas;;17;54.0;17;45.0;-2;0.5;9.0

19b;Horner Sämi;;;;;;;;;;53.5
o;;;Lagler Christian;;;;;;;;8.5
+;7;8.5;Diethelm Samuel;;29;34.5;7;8.5;0;0.0;9.75
o;9;18.25;Bösch Dario (1999);;18;53.75;9;18.25;0;0.0;8.5
+;13;26.75;Annen David (2000);;27;35.25;13;26.75;0;0.0;9.75
