4942-2021-07-25_Bruenigschwinget-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
-;9;17.5;Bienz Romeo;*;30;26.0;10;17.25;1;-0.25;8.75
o;14;26.25;Schmid Simon;*;9;55.5;11;27.0;-3;0.75;8.5
-;15;34.75;Wallimann Remo;*;18;53.25;15;34.75;0;0.0;8.75
o;19;43.5;Betschart Marcel;*;17;53.5;18;43.75;-1;0.25;8.5

23a;Imfeld Beat;*;;;;;;;;;51.5
o;;;Iseli Marco;**;;;;;;;8.5
-;5;8.5;Dubler Mike;;22;52.0;4;8.75;-1;0.25;8.75
-;10;17.25;Kämpf Marcel;*;17;53.5;10;17.25;0;0.0;8.75
o;15;26.0;Hiltbrunner Remo (2003);*;11;55.0;15;26.0;0;0.0;8.5
o;16;34.5;Joho Philip;*;8;55.75;12;35.75;-4;1.25;8.5
o;20;43.0;Mangold Martin;*;17;53.5;18;43.75;-2;0.75;8.5

24a;Amgarten Martin;*;;;;;;;;;51.25
-;;;Wenger Marcel;*;;;;;;;8.75
o;4;8.75;Blaser Roman;*;16;53.75;5;8.5;1;-0.25;8.5
o;10;17.25;Scheuner Michael;*;19;53.0;9;17.5;-1;0.25;8.5
o;16;25.75;Schmutz Simon;*;14;54.25;16;25.75;0;0.0;8.5
o;17;34.25;Bruder Adrian;*;20;52.75;16;34.5;-1;0.25;8.5
o;21;42.75;Kämpf Marcel;*;17;53.5;19;43.5;-2;0.75;8.5

25a;Bearda Samuel;**;;;;;;;;;51.0
o;;;Betschart Marcel;*;;;;;;;8.5
o;5;8.5;Steudler Kevin;*;15;54.0;4;8.75;-1;0.25;8.5
o;11;17.0;Lussi Marco;**;13;54.5;10;17.25;-1;0.25;8.5
o;17;25.5;Nufer Sämi;*;15;54.0;16;25.75;-1;0.25;8.5
o;18;34.0;Ming Christian;*;16;53.75;15;34.75;-3;0.75;8.5
o;22;42.5;Wallimann Remo;*;18;53.25;19;43.5;-3;1.0;8.5

26a;Leuthard Reto;**;;;;;;;;;36.0
-;;;Egli Damian;**;;;;;;;9.0
+;3;9.0;Klossner Sven;*;20;52.75;4;8.75;1;-0.25;10.0
o;4;19.0;Sempach Thomas;***;5;56.75;9;17.5;5;-1.5;8.5
o;9;27.5;Suter Beat;*;11;55.0;7;28.0;-2;0.5;8.5

26b;Nötzli Reto;***;;;;;;;;;36.0
o;;;Wenger Kilian;***;;;;;;;8.5
+;5;8.5;Zangger Dominik;*;13;54.5;1;10.0;-4;1.5;10.0
-;6;18.5;Renfer Lukas;**;7;56.25;1;20.0;-5;1.5;8.75
-;10;27.25;Klossner Adrian;*;4;57.0;6;28.25;-4;1.0;8.75

27a;Bader Fabian;*;;;;;;;;;34.75
-;;;Durrer Nando;*;;;;;;;9.0
o;3;9.0;Zürcher Remo;*;12;54.75;4;8.75;1;-0.25;8.5
-;9;17.5;Stöckli Damian;*;30;26.0;10;17.25;1;-0.25;8.75
o;14;26.25;Odermatt Andreas;**;11;55.0;16;25.75;2;-0.5;8.5

28a;Bissig Fabian;*;;;;;;;;;34.0
o;;;Gäggeler Adrian;*;;;;;;;8.5
o;5;8.5;Wyss Kaspar;*;17;53.5;4;8.75;-1;0.25;8.5
o;11;17.0;Nägeli Daniel;*;16;53.75;10;17.25;-1;0.25;8.5
o;17;25.5;Stucki Marcel;*;16;53.75;17;25.5;0;0.0;8.5

29a;Kropf Marcel;**;;;;;;;;;27.25
o;;;Anderegg Simon;***;;;;;;;8.5
+;5;8.5;Reichmuth Roland;*;12;54.75;2;9.75;-3;1.25;10.0
-;6;18.5;Durrer Nando;*;14;54.25;4;19.0;-2;0.5;8.75

30a;Bienz Romeo;*;;;;;;;;;26.0
-;;;Steudler Kevin;*;;;;;;;8.75
o;4;8.75;Schenk Thomas;*;20;52.75;5;8.5;1;-0.25;8.5
-;10;17.25;Dubler Mike;;22;52.0;9;17.5;-1;0.25;8.75

30b;Stöckli Damian;*;;;;;;;;;26.0
-;;;Bruder Adrian;*;;;;;;;8.75
o;4;8.75;Michel Jonas;*;18;53.25;5;8.5;1;-0.25;8.5
-;10;17.25;Bader Fabian;*;27;34.75;9;17.5;-1;0.25;8.75

31a;Brun Samuel;**;;;;;;;;;25.75
-;;;Heiniger Marco;**;;;;;;;8.75
o;4;8.75;Binggeli Dominik;*;16;53.75;2;9.75;-2;1.0;8.5
o;10;17.25;Gäggeler Adrian;*;10;55.25;7;18.25;-3;1.0;8.5

32a;Lang Sven;**;;;;;;;;;17.25
o;;;Renfer Lukas;**;;;;;;;8.75
o;4;8.75;Schlüchter Colin;*;12;54.75;4;8.75;0;0.0;8.5

33a;Felder Martin;*;;;;;;;;;17.0
o;;;Roschi Ruedi;**;;;;;;;8.5
o;5;8.5;Steffen Konrad;*;18;53.25;5;8.5;0;0.0;8.5

