4396-2019-07-07_Appenzeller_Kantonalschwingfest-ST

1a;Bless Michael;***;;;;;;;;;58.5
9e;Oertle Daniel;*;;;;;;;;;55.75
o;;;Riget Florian;*;;;;;;;8.5
+;5;8.5;Kirchmeier Christof;;13;54.75;2;9.75;-3;1.25;10.0
o;4;18.5;Kiser Aron (2001);;13;54.75;3;18.75;-1;0.25;8.5
+;9;27.0;Furrer Damian;;24;35.5;9;27.0;0;0.0;9.75
-;9;36.75;Heierli Pascal;*;11;55.25;11;36.25;2;-0.5;9.0
+;11;45.75;Schegg Daniel;;17;53.75;13;45.25;2;-0.5;10.0

9f;Keller Werner;*;;;;;;;;;55.75
+;;;Rütsche Stefan;*;;;;;;;10.0
-;1;10.0;Oettli Silvio;*;7;56.25;3;9.0;2;-1.0;8.75
+;3;18.75;Bucher Roman (2003);;24;35.5;4;18.5;1;-0.25;9.75
o;3;28.5;Schneider Domenic;***;2;57.5;7;27.5;4;-1.0;8.5
+;8;37.0;Schegg Daniel;;17;53.75;9;36.75;1;-0.25;10.0
o;6;47.0;Jörger Marc;*;4;57.0;6;47.0;0;0.0;8.75

9g;Inauen Aurel;;;;;;;;;;55.75
+;;;Tschudi Mario (2001);;;;;;;;10.0
-;1;10.0;Keller Manuel;*;15;54.25;4;8.75;3;-1.25;8.75
o;3;18.75;Oertig Dominik;**;10;55.5;7;17.75;4;-1.0;8.5
+;8;27.25;Bucher Roman (2003);;24;35.5;9;27.0;1;-0.25;9.75
-;8;37.0;Kiser Aron (2001);;13;54.75;8;37.0;0;0.0;8.75
+;11;45.75;Castelli Fabio;;15;54.25;11;45.75;0;0.0;10.0

9h;Schläpfer Matthias;*;;;;;;;;;55.75
o;;;Bickel Roman;*;;;;;;;8.5
+;5;8.5;Rhyner Beni;;24;35.5;1;10.0;-4;1.5;10.0
+;4;18.5;Keller Andreas;*;14;54.5;3;18.75;-1;0.25;10.0
o;3;28.5;Forrer Arnold;***;9;55.75;8;27.25;5;-1.25;8.5
-;8;37.0;Niederer Andreas (2002);;13;54.75;8;37.0;0;0.0;8.75
+;11;45.75;Wehrli Jan (2002);;16;54.0;12;45.5;1;-0.25;10.0

