3378-2016-07-10_Appenzeller_Kantonalschwingfest-ST

o;7;18.5;Good Marco;*;12;55.75;6;18.75;-1;0.25;8.5
+;12;27.0;Langenegger Beat;;26;35.5;12;27.0;0;0.0;10.0
-;11;37.0;Dörig Erich;*;16;54.75;9;37.5;-2;0.5;8.75
+;14;45.75;Alder Armin;;17;54.5;13;46.0;-1;0.25;10.0

12g;Schlegel Reto;*;;;;;;;;;55.75
+;;;Vestner Bruno;*;;;;;;;9.75
o;3;9.75;Roth Martin;*;7;57.0;2;10.0;-1;0.25;8.5
+;8;18.25;Giger Lorenz (2000);;23;53.0;6;18.75;-2;0.5;10.0
o;7;28.25;Oertle Daniel;;8;56.75;4;29.5;-3;1.25;8.5
-;12;36.75;Tanner Adrian;;17;54.5;11;37.0;-1;0.25;9.0
+;14;45.75;Ackermann Remo;*;18;54.25;14;45.75;0;0.0;10.0

12h;Koch Reto;;;;;;;;;;55.75
+;;;Rüegger Remo (1999);;;;;;;;10.0
o;2;10.0;Jöhl Christian;*;14;55.25;4;9.0;2;-1.0;8.75
o;6;18.75;Junker Nik;;11;56.0;8;18.25;2;-0.5;8.5
+;11;27.25;Candrian Gian-Luca (1998);;26;35.5;12;27.0;1;-0.25;10.0
o;10;37.25;Koller Martin;*;1;110.75;1;72.5;-9;35.25;8.5
+;14;45.75;Oettli Silvio (2000);;19;54.0;15;45.5;1;-0.25;10.0

13a;Pﬁffner Ivo;;;;;;;;;;55.5
+;;;Lanter Christian (1998);;;;;;;;9.75
-;3;9.75;Gwerder Andreas;**;17;54.5;6;8.5;3;-1.25;8.75
+;7;18.5;Dobler Mathias;;19;54.0;6;18.75;-1;0.25;10.0
o;6;28.5;Ackermann Remo;*;18;54.25;11;27.25;5;-1.25;8.5
+;11;37.0;Pianta Christian;;14;55.25;12;36.75;1;-0.25;10.0
o;9;47.0;Schläpfer Matthias;*;9;56.5;11;46.5;2;-0.5;8.5

13b;Rüegg Roman;*;;;;;;;;;55.5
o;;;Roth Martin;*;;;;;;;8.75
o;5;8.75;Leuppi Samir;**;6;57.25;5;8.75;0;0.0;8.5
+;11;17.25;Schwyn Patrick (1999);;26;35.5;7;18.5;-4;1.25;9.75
+;12;27.0;Bucher Roland;;26;35.5;12;27.0;0;0.0;10.0
+;11;37.0;Steiner Michael;**;14;55.25;11;37.0;0;0.0;10.0
o;9;47.0;Burkhalter Stefan;***;8;56.75;9;47.0;0;0.0;8.5

13c;Oertig Adrian;**;;;;;;;;;55.5
+;;;Schläpfer Markus;**;;;;;;;9.75
-;3;9.75;Landolt Reto;*;12;55.75;3;9.75;0;0.0;9.0
+;6;18.75;Pianta Christian;;14;55.25;3;19.75;-3;1.0;9.75
-;6;28.5;Steiner Michael;**;14;55.25;7;28.25;1;-0.25;8.75
+;10;37.25;Schmid Patrick;*;14;55.25;7;38.0;-3;0.75;9.75
o;9;47.0;Horner Peter;**;9;56.5;10;46.75;1;-0.25;8.5

13d;Harder Benj;;;;;;;;;;55.5
+;;;Candrian Gian-Luca (1998);;;;;;;;10.0
o;2;10.0;Fejzaj Naim;**;6;57.25;4;9.0;2;-1.0;8.5
+;7;18.5;Raschle Adrian;;19;54.0;7;18.5;0;0.0;9.75
-;7;28.25;Wittenwiler Roman (1998);;12;55.75;6;28.5;-1;0.25;8.75
o;11;37.0;Rychen Roger;**;7;57.0;11;37.0;0;0.0;8.5
+;15;45.5;Keller Stefan (1998);;20;53.75;16;45.25;1;-0.25;10.0

13e;Hersche Stefan;;;;;;;;;;55.5
+;;;Bürgler Patrick;;;;;;;;9.75
o;3;9.75;Ackermann Remo;*;18;54.25;6;8.5;3;-1.25;8.5
+;8;18.25;Frei Hanspeter (1999);;20;53.75;7;18.5;-1;0.25;10.0
o;7;28.25;Leuppi Karim;*;17;54.5;10;27.5;3;-0.75;8.75
o;11;37.0;Oertig Dominik;**;11;56.0;10;37.25;-1;0.25;8.5
+;15;45.5;Horner Sämi;;19;54.0;16;45.25;1;-0.25;10.0

13f;Hersche Daniel;;;;;;;;;;55.5
+;;;Kiser Michael (1998);;;;;;;;9.75
+;3;9.75;Burkhard Patrick;*;14;55.25;6;8.5;3;-1.25;10.0
+;3;19.75;Bickel Roman (1998);*;8;56.75;7;18.5;4;-1.25;9.75
o;4;29.5;Schneider Mario;**;9;56.5;7;28.25;3;-1.25;8.5
o;7;38.0;Kuster Thomas;*;9;56.5;7;38.0;0;0.0;8.75
o;10;46.75;Elmer Adrian;;9;56.5;10;46.75;0;0.0;8.75

13g;Elmer Daniel;*;;;;;;;;;55.5
+;;;Straub Robin;*;;;;;;;10.0
o;2;10.0;Kuster Marcel;**;8;56.75;2;10.0;0;0.0;8.5
o;7;18.5;Koch Thomas;;7;57.0;3;19.75;-4;1.25;8.5
+;12;27.0;Salnajs Leo (1998);;22;53.25;10;27.5;-2;0.5;9.75
+;12;36.75;Funk Nicola (1999);;17;54.5;15;36.0;3;-0.75;10.0
-;10;46.75;Schmid Patrick;*;14;55.25;11;46.5;1;-0.25;8.75

13h;Fuster Sepp;;;;;;;;;;55.5
+;;;Furrer Matthias;;;;;;;;10.0
o;2;10.0;Rüegg Fabian;*;11;56.0;5;8.75;3;-1.25;8.5
+;7;18.5;Candrian Gian-Luca (1998);;26;35.5;7;18.5;0;0.0;9.75
+;7;28.25;Bleiker Reto;*;16;54.75;10;27.5;3;-0.75;9.75
o;7;38.0;Landolt Reto;*;12;55.75;11;37.0;4;-1.0;8.5
-;11;46.5;Wey Nicola;*;11;56.0;9;47.0;-2;0.5;9.0

13i;Raymann David;*;;;;;;;;;55.5
-;;;Koller Martin;*;;;;;;;9.0
o;4;9.0;Wittenwiler Roman (1998);;12;55.75;2;10.0;-2;1.0;8.5
+;10;17.5;Schoch Cornel (1998);;20;53.75;7;18.5;-3;1.0;10.0
+;10;27.5;Keller Werner;;16;54.75;8;28.0;-2;0.5;9.75
o;10;37.25;Hersche Martin;**;4;58.0;6;38.25;-4;1.0;8.5
+;14;45.75;Tanner Adrian;;17;54.5;13;46.0;-1;0.25;9.75

13j;Breitenmoser Manuel;;;;;;;;;;55.5
+;;;Langenegger Beat;;;;;;;;9.75
o;3;9.75;Schneider Mario;**;9;56.5;6;8.5;3;-1.25;8.5
+;8;18.25;Raschle Simon (1999);;27;35.25;8;18.25;0;0.0;10.0
-;7;28.25;Gwerder Andreas;**;17;54.5;12;27.0;5;-1.25;9.0
o;10;37.25;Leuppi Samir;**;6;57.25;9;37.5;-1;0.25;8.5
+;14;45.75;Inauen Andreas;*;18;54.25;14;45.75;0;0.0;9.75

13k;Manser Bruno;*;;;;;;;;;55.5
o;;;Krähenbühl Lukas;*;;;;;;;8.5
+;6;8.5;Koller Martin;*;1;110.75;1;17.5;-5;9.0;9.75
-;8;18.25;Bischof Martin;;16;54.75;6;18.75;-2;0.5;8.75
+;12;27.0;Schiesser Patrik (1998);;24;52.75;11;27.25;-1;0.25;10.0
-;11;37.0;Bänziger Peter;;18;54.25;12;36.75;1;-0.25;8.75
+;14;45.75;Furrer Matthias;;20;53.75;16;45.25;2;-0.5;9.75

14a;Schmid Patrick;*;;;;;;;;;55.25
+;;;Notz Armin;*;;;;;;;9.75
