3748-2017-05-21_107_Zuercher_Kantonalschwingfest-ST

1a;Leuppi Samir;**;;;;;;;;;59.5
+;3;9.0;Braun Mathias;*;11;55.5;5;8.5;2;-0.5;10.0
o;4;19.0;Nägeli Marco;*;6;56.75;2;19.75;-2;0.75;8.5
+;10;27.5;Hauser Simon;;12;55.25;11;27.25;1;-0.25;10.0
o;7;37.5;Bollhalder Manuel (2001);;8;56.25;5;38.0;-2;0.5;8.5
+;12;46.0;Büsser André;;15;54.5;12;46.0;0;0.0;10.0

10a;Notz Armin;*;;;;;;;;;55.75
-;;;Bäbler Sandro;**;;;;;;;8.75
-;4;8.75;Elmer Daniel;*;7;56.5;3;9.0;-1;0.25;8.75
+;9;17.5;Spangaro Luciano (2001);;6;56.75;6;18.5;-3;1.0;9.75
+;11;27.25;Nock Benjamin (2001);;13;55.0;9;27.75;-2;0.5;9.75
-;9;37.0;Korrodi Paul;*;15;54.5;9;37.0;0;0.0;8.75
+;13;45.75;Buchmann Michael;;14;54.75;12;46.0;-1;0.25;10.0

10b;Kindlimann Fabian;***;;;;;;;;;55.75
-;;;Schneider Mario;**;;;;;;;8.75
+;4;8.75;Näf Pius;*;9;56.0;2;9.75;-2;1.0;9.75
-;6;18.5;Oertig Adrian;**;5;57.0;5;18.75;-1;0.25;8.75
+;11;27.25;Inauen Andreas;*;13;55.0;6;28.5;-5;1.25;10.0
o;8;37.25;Elmer Daniel;*;7;56.5;6;37.75;-2;0.5;8.5
+;13;45.75;Giger Urs;*;12;55.25;9;46.75;-4;1.0;10.0

10c;Burkhalter Stefan;***;;;;;;;;;55.75
o;;;Rychen Roger;***;;;;;;;8.5
+;5;8.5;Rüegg Fabian;*;11;55.5;2;9.75;-3;1.25;10.0
-;6;18.5;Fejzaj Naim;**;14;54.75;6;18.5;0;0.0;8.75
+;11;27.25;Bäbler Sandro;**;16;54.25;6;28.5;-5;1.25;9.75
+;9;37.0;Vestner Bruno;*;7;56.5;4;38.25;-5;1.25;10.0
-;8;47.0;Oertig Dominik;**;6;56.75;4;48.0;-4;1.0;8.75

10d;Reichmuth Beat;;;;;;;;;;55.75
+;;;Ott Dominik;*;;;;;;;10.0
+;1;10.0;Schwyn Adrian;;24;35.5;1;10.0;0;0.0;9.75
+;2;19.75;Pfister Florian;*;24;35.5;6;18.5;4;-1.25;9.75
o;3;29.5;Schnurrenberger Roman;**;3;57.5;6;28.5;3;-1.0;8.5
-;5;38.0;Vogel Thomas;;9;56.0;4;38.25;-1;0.25;9.0
o;8;47.0;Spangaro Luciano (2001);;6;56.75;9;46.75;1;-0.25;8.75

10e;Ammann Rico;*;;;;;;;;;55.75
+;;;Güntensperger Marcel;*;;;;;;;10.0
o;1;10.0;Horner Peter;***;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Dändliker Hansheinrich;;11;55.5;1;20.0;-5;1.5;10.0
