3448-2016-05-29_97_Luzerner_Kantonales_Schwingfest-ST

1a;Odermatt Andreas;*;;;;;;;;;109.75
+;;;Amrein Lukas (1999);;;;;;;;9.75
-;3;9.75;Zgraggen Peter;;19;54.0;2;10.0;-1;0.25;8.75
-;7;18.5;Lang Julian (1998);;17;54.5;7;18.5;0;0.0;9.0
o;9;27.5;Fink Bruno;*;14;55.25;11;27.0;2;-0.5;8.75
+;13;36.25;Weber Roman (1999);;23;53.0;15;35.75;2;-0.5;9.75
+;11;46.0;Thierstein Marco;;16;54.75;11;46.0;0;0.0;10.0

11f;Kurmann Toni (1998);;;;;;;;;;56.0
+;;;Bärtschi Basil;;;;;;;;10.0
+;2;10.0;Fahrni Lukas;;31;35.5;3;9.75;1;-0.25;10.0
o;2;20.0;Vogel Remo;*;4;57.75;6;18.75;4;-1.25;8.5
o;5;28.5;Mathis Marcel;***;8;56.75;10;27.25;5;-1.25;8.5
-;10;37.0;Vogel Manuel (1998);;18;54.25;11;36.75;1;-0.25;9.0
+;11;46.0;Ziegler Manuel;;17;54.5;11;46.0;0;0.0;10.0

11g;Suppiger Thomas;;;;;;;;;;56.0
+;;;Durrer Robin;;;;;;;;10.0
+;2;10.0;Schöpfer Ronny (1999);;13;55.5;3;9.75;1;-0.25;10.0
-;2;20.0;Vonlaufen Alexander;**;12;55.75;7;18.5;5;-1.5;8.75
-;4;28.75;Odermatt Andreas;*;1;109.75;1;55.75;-3;27.0;8.75
o;8;37.5;Ramseier Fritz;*;12;55.75;9;37.25;1;-0.25;8.5
+;11;46.0;Schmid Simon (2000);;16;54.75;11;46.0;0;0.0;10.0

11h;Rohrer Ivan;*;;;;;;;;;56.0
+;;;Portmann Josef;*;;;;;;;9.75
-;3;9.75;Fankhauser Erich;***;6;57.25;6;8.5;3;-1.25;8.75
-;7;18.5;Felder Seppi;;7;57.0;3;19.75;-4;1.25;8.75
-;10;27.25;Bürli Roger;;7;57.0;5;28.5;-5;1.25;8.75
+;14;36.0;Marti Christoph (1999);;20;53.75;11;36.75;-3;0.75;10.0
+;11;46.0;Schaller Noah (2000);;18;54.25;12;45.75;1;-0.25;10.0

11i;Egli David;*;;;;;;;;;56.0
o;;;Betschart Remo;**;;;;;;;8.5
-;6;8.5;Zurﬂuh Markus;**;28;44.75;5;8.75;-1;0.25;8.75
+;11;17.25;Suter Beat;;18;54.25;7;18.5;-4;1.25;10.0
+;10;27.25;Achermann Simon;;16;54.75;6;28.25;-4;1.0;10.0
o;9;37.25;Lustenberger Josef;;14;55.25;10;37.0;1;-0.25;8.75
+;11;46.0;Widmer Dominik;;16;54.75;10;46.25;-1;0.25;10.0

11j;Portmann Josef;*;;;;;;;;;56.0
o;;;Rohrer Ivan;*;;;;;;;8.75
+;5;8.75;Bühler Patrice;;13;55.5;2;10.0;-3;1.25;10.0
-;6;18.75;Reusser Philipp;**;7;57.0;4;19.5;-2;0.75;9.0
+;8;27.75;Hodel Martin;;12;55.75;5;28.5;-3;0.75;9.75
+;8;37.5;Thalmann Thomas;*;17;54.5;9;37.25;1;-0.25;9.75
-;6;47.25;Bieri Christian;*;13;55.5;8;46.75;2;-0.5;8.75

12a;Ottiger Lukas;;;;;;;;;;55.75
-;;;von Flüe Marco;;;;;;;;8.75
+;5;8.75;Wigger Fabian (1998);;32;35.25;6;8.5;1;-0.25;10.0
