3580-2017-05-25_Baselstaedtischer_Schwingertag-ST

1a;Alpiger Nick;***;;;;;;;;;59.5
o;12;27.0;Lisser Beat;;13;55.0;8;28.0;-4;1.0;8.5
-;17;35.5;Schopferer Cyril (2000);;21;53.0;17;35.5;0;0.0;8.75

28a;Rüegg Benjamin;;;;;;;;;;35.25
o;;;Rüegger Aaron (1999);;;;;;;;8.5
o;5;8.5;Reimann Marco;;18;53.75;5;8.5;0;0.0;8.5
o;10;17.0;Meier Fabian;;23;52.5;10;17.0;0;0.0;8.5
+;17;25.5;Kramer Lukas (2001);;32;34.0;17;25.5;0;0.0;9.75

28b;Hermann Lukas 1 (2000);;;;;;;;;;35.25
o;;;Imobersteg Matthias (2001);;;;;;;;8.5
o;5;8.5;Steger Robert;;18;53.75;5;8.5;0;0.0;8.5
+;10;17.0;Peterhans Alex (2000);;23;52.5;10;17.0;0;0.0;9.75
o;13;26.75;Lisser Daniel;*;16;54.25;15;26.0;2;-0.75;8.5

28c;Huber Pascal;;;;;;;;;;35.25
o;;;Bieli Andreas;;;;;;;;8.5
o;5;8.5;Brügger Joël (2000);;15;54.5;5;8.5;0;0.0;8.5
+;10;17.0;Regenass Reto (2000);;32;34.0;10;17.0;0;0.0;9.75
o;13;26.75;Voggensperger Lars (2001);;15;54.5;10;27.5;-3;0.75;8.5

28d;Huber Fabian;;;;;;;;;;35.25
o;;;Widmer Dino;;;;;;;;8.5
o;5;8.5;Büttler Adrian (1999);;17;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Imobersteg Tobias;;32;34.0;10;17.0;0;0.0;9.75
o;13;26.75;Bühler Mark;;19;53.5;13;26.75;0;0.0;8.5

28e;Loosli Adrian;;;;;;;;;;35.25
o;;;Rohrbach Jérôme (2000);;;;;;;;8.5
+;5;8.5;Zagarella Davide (1999);;31;34.25;5;8.5;0;0.0;9.75
o;7;18.25;Imobersteg Matthias (2001);;12;55.25;7;18.25;0;0.0;8.5
o;13;26.75;Krebs Clemens;;12;55.25;12;27.0;-1;0.25;8.5

28f;Tschan Raphael (2000);;;;;;;;;;35.25
o;;;Graber Colin;;;;;;;;8.5
+;5;8.5;Regenass Reto (2000);;32;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Odermatt Adrian (2001);;7;56.5;7;18.25;0;0.0;8.5
o;13;26.75;Jusufi Ilber;;13;55.0;12;27.0;-1;0.25;8.5

28g;Fritz Christian;;;;;;;;;;35.25
o;;;Jusufi Ilber;;;;;;;;8.5
+;5;8.5;Meier Fabian;;23;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Reimann Marco;;18;53.75;7;18.25;0;0.0;8.5
o;13;26.75;Widmer David;;16;54.25;12;27.0;-1;0.25;8.5

29a;Schwegler Dominik;;;;;;;;;;34.75
o;;;Krebs Clemens;;;;;;;;8.5
-;5;8.5;Nyffenegger Florian (2001);;17;54.0;5;8.5;0;0.0;8.75
-;9;17.25;Bruder Adrian;;29;34.75;9;17.25;0;0.0;8.75
-;15;26.0;Stoll Thomas;;33;26.25;14;26.25;-1;0.25;8.75

29b;Bruder Adrian;;;;;;;;;;34.75
-;;;Cezar Romario;;;;;;;;8.75
o;4;8.75;Hitz Florian (1999);;16;54.25;4;8.75;0;0.0;8.5
-;9;17.25;Schwegler Dominik;;29;34.75;9;17.25;0;0.0;8.75
-;15;26.0;Aerni Lars;;19;53.5;12;27.0;-3;1.0;8.75

30a;Vogt Patrick (1999);;;;;;;;;;34.5
o;;;Furrer Mathias;;;;;;;;8.5
o;5;8.5;Müller Jan;;17;54.0;5;8.5;0;0.0;8.5
-;10;17.0;Körkel Yannik;;31;34.25;10;17.0;0;0.0;8.75
o;16;25.75;Meyer Lukas (2001);;22;52.75;15;26.0;-1;0.25;8.75

31a;Brändli Kevin;;;;;;;;;;34.25
o;;;Nussbaumer Dominik;;;;;;;;8.5
o;5;8.5;Büttler Gian (2000);;18;53.75;5;8.5;0;0.0;8.5
-;10;17.0;Zagarella Davide (1999);;31;34.25;10;17.0;0;0.0;8.75
o;16;25.75;Dettwiler Patrick;;21;53.0;15;26.0;-1;0.25;8.5

31b;Körkel Yannik;;;;;;;;;;34.25
o;;;Schmutz Simon (2000);;;;;;;;8.5
o;5;8.5;Gisin Yanic;;16;54.25;5;8.5;0;0.0;8.5
-;10;17.0;Vogt Patrick (1999);;30;34.5;10;17.0;0;0.0;8.75
o;16;25.75;Grossmann Andreas;;22;52.75;16;25.75;0;0.0;8.5

31c;Zagarella Davide (1999);;;;;;;;;;34.25
o;;;Burren Patrick (1999);;;;;;;;8.5
o;5;8.5;Loosli Adrian;;28;35.25;5;8.5;0;0.0;8.5
-;10;17.0;Brändli Kevin;;31;34.25;10;17.0;0;0.0;8.75
o;16;25.75;Peterhans Alex (2000);;23;52.5;17;25.5;1;-0.25;8.5

32a;Imobersteg Tobias;;;;;;;;;;34.0
o;;;Mangold Michael;;;;;;;;8.5
o;5;8.5;Bearda Samuel;;14;54.75;5;8.5;0;0.0;8.5
o;10;17.0;Huber Fabian;;28;35.25;10;17.0;0;0.0;8.5
o;17;25.5;Schär Simon;*;13;55.0;17;25.5;0;0.0;8.5

32b;Regenass Reto (2000);;;;;;;;;;34.0
o;;;Studer Remo;;;;;;;;8.5
o;5;8.5;Tschan Raphael (2000);;28;35.25;5;8.5;0;0.0;8.5
o;10;17.0;Huber Pascal;;28;35.25;10;17.0;0;0.0;8.5
o;17;25.5;Reinhard Pirmin (2001);;27;44.25;12;27.0;-5;1.5;8.5

32c;Kramer Lukas (2001);;;;;;;;;;34.0
o;;;Schopferer Cyril (2000);;;;;;;;8.5
o;5;8.5;Nussbaumer Gabriel;;12;55.25;5;8.5;0;0.0;8.5
o;10;17.0;Aeschlimann Fabian (1999);;17;54.0;10;17.0;0;0.0;8.5
o;17;25.5;Rüegg Benjamin;;28;35.25;17;25.5;0;0.0;8.5

33a;Stoll Thomas;;;;;;;;;;26.25
-;;;Hitz Florian (1999);;;;;;;;8.75
-;4;8.75;Grossmann Andreas;;22;52.75;5;8.5;1;-0.25;8.75
-;8;17.5;Schwegler Dominik;;29;34.75;9;17.25;1;-0.25;8.75

34a;Brun Samuel (1999);**;;;;;;;;;17.0
o;;;Döbeli Lukas (2000);*;;;;;;;8.5
o;5;8.5;Rüegger Aaron (1999);;8;56.25;2;9.75;-3;1.25;8.5

