3002-2018-08-12_Bernisch-Kantonales_Schwingfest-ST

1a;Röthlisberger Simon;**;;;;;;;;;110.75
12b;Schlüchter Colin;*;;;;;;;;;55.5
+;;;Walther Adrian (2001);*;;;;;;;9.75
o;3;9.75;Roth Philipp;***;13;55.25;6;8.5;3;-1.25;8.5
-;8;18.25;Blatter Remo (2000);;18;54.0;7;18.5;-1;0.25;8.75
-;10;27.0;Tschumi Lukas (2001);*;19;53.75;9;27.25;-1;0.25;9.0
+;14;36.0;Kämpf Lorenz;*;26;44.25;16;35.5;2;-0.5;9.75
+;14;45.75;Reust Markus;*;17;54.25;14;45.75;0;0.0;9.75

12c;Ramseier Fritz;**;;;;;;;;;55.5
-;;;Jäggi Lukas;*;;;;;;;9.0
+;4;9.0;Berger Lorenz;*;30;35.0;5;8.75;1;-0.25;9.75
-;6;18.75;Schütz Urs;**;17;54.25;7;18.5;1;-0.25;8.75
+;8;27.5;Hadorn Marco;;16;54.5;9;27.25;1;-0.25;9.75
o;9;37.25;Kämpf Alexander;**;15;54.75;13;36.25;4;-1.0;8.5
+;14;45.75;Bütikofer Lukas;*;19;53.75;16;45.25;2;-0.5;9.75

12d;Leuenberger Michael;*;;;;;;;;;55.5
+;;;Zosso Remo;**;;;;;;;10.0
-;2;10.0;Steffen Konrad;*;14;55.0;3;9.75;1;-0.25;9.0
o;5;19.0;Käser Remo;***;5;57.25;6;18.75;1;-0.25;8.5
+;8;27.5;Wüthrich Bruno (2000);;18;54.0;6;28.0;-2;0.5;9.75
o;9;37.25;Moser Michael;**;13;55.25;11;36.75;2;-0.5;8.5
+;14;45.75;Gasser Dominik (2000);;17;54.25;14;45.75;0;0.0;9.75

12e;Ramseier Thomas;*;;;;;;;;;55.5
+;;;Pulfer Thomas;*;;;;;;;9.75
o;3;9.75;Anderegg Simon;***;10;56.0;6;8.5;3;-1.25;8.75
+;7;18.5;Steudler Kevin (2001);*;28;35.5;7;18.5;0;0.0;9.75
o;5;28.25;Mathys Simon;**;6;57.0;5;28.25;0;0.0;8.5
-;11;36.75;Wittwer Jan;*;15;54.75;9;37.25;-2;0.5;9.0
+;14;45.75;Rolli Martin;**;17;54.25;14;45.75;0;0.0;9.75

13a;Wüthrich Niklaus;**;;;;;;;;;55.25
o;;;Staudenmann Fabian (2000);**;;;;;;;8.5
+;6;8.5;Fankhauser Thomas;*;30;35.0;5;8.75;-1;0.25;9.75
o;8;18.25;Wittwer Jan;*;15;54.75;7;18.5;-1;0.25;8.75
+;10;27.0;Rolli Martin;**;17;54.25;9;27.25;-1;0.25;9.75
