2753-2015-08-23_Bernisch-Kantonales_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;59.75
o;6;18.5;Imhof Andi;***;8;56.25;8;17.5;2;-1.0;8.5
-;10;27.0;Burger Fredy;*;17;54.0;10;27.0;0;0.0;8.75
o;15;35.75;Zürcher Kurt;*;16;54.25;16;35.5;1;-0.25;8.5
o;18;44.25;Meyer Reto;*;16;54.25;18;44.25;0;0.0;8.5

22b;Berger Lorenz (1997);;;;;;;;;;52.75
o;;;Wüthrich Philip;;;;;;;;8.5
+;5;8.5;Ledermann Patrik;;30;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Wickli Beat;**;9;56.0;7;18.25;1;-0.25;8.5
o;10;27.0;Gehrig Philipp;*;16;54.25;12;26.5;2;-0.5;8.5
o;16;35.5;Berger René;**;12;55.25;16;35.5;0;0.0;8.5
o;19;44.0;Walther Marcel;;18;53.75;19;44.0;0;0.0;8.75

22c;Rolli Martin;**;;;;;;;;;52.75
-;;;Meuter Adrian;**;;;;;;;8.75
o;4;8.75;Iseli Marco (1997);;10;55.75;1;10.0;-3;1.25;8.5
+;9;17.25;Schlüchter Colin (1997);*;13;55.0;7;18.25;-2;1.0;9.75
-;10;27.0;Borcard Johann;**;17;54.0;10;27.0;0;0.0;8.75
o;15;35.75;Dind Samuel;**;10;55.75;15;35.75;0;0.0;8.5
o;18;44.25;Wittwer Josias;*;15;54.5;16;44.75;-2;0.5;8.5

22d;Schmid Lars;;;;;;;;;;52.75
+;;;Leuenberger Marc;;;;;;;;9.75
-;2;9.75;Urfer Simon;*;14;54.75;4;8.75;2;-1.0;8.75
o;6;18.5;Renfer Lukas;*;13;55.0;7;18.25;1;-0.25;8.5
o;10;27.0;Zimmermann Matthias;*;17;54.0;10;27.0;0;0.0;8.5
o;16;35.5;Hofstetter Christian;*;18;53.75;16;35.5;0;0.0;8.5
-;19;44.0;Grossen John;;21;53.0;18;44.25;-1;0.25;8.75

22e;Vonlanthen Cyril;;;;;;;;;;52.75
-;;;Fink Beat;;;;;;;;8.75
+;4;8.75;Zürcher Kurt;*;16;54.25;5;8.5;1;-0.25;9.75
-;6;18.5;Heiniger Michael;*;23;52.5;7;18.25;1;-0.25;8.75
o;9;27.25;Zaugg Christian;*;18;53.75;10;27.0;1;-0.25;8.5
o;15;35.75;Wüthrich Philip;;12;55.25;15;35.75;0;0.0;8.5
o;18;44.25;Brunner Marcel;*;15;54.5;17;44.5;-1;0.25;8.5

22f;Gerber Fritz;;;;;;;;;;52.75
-;;;Camenzind Ivan;;;;;;;;8.75
+;4;8.75;Wittwer René;*;32;17.25;4;8.75;0;0.0;10.0
o;5;18.75;Roschi Ruedi;**;11;55.5;6;18.5;1;-0.25;8.5
o;9;27.25;Leuenberger Michael 1;*;13;55.0;8;27.5;-1;0.25;8.5
o;15;35.75;Scheuner Michael;*;17;54.0;15;35.75;0;0.0;8.5
o;18;44.25;Riesen Julian;;15;54.5;16;44.75;-2;0.5;8.5

22g;Leuenberger Marc;;;;;;;;;;52.75
o;;;Schmid Lars;;;;;;;;8.5
o;5;8.5;Scheidegger Adrian;;25;35.25;5;8.5;0;0.0;8.5
+;10;17.0;Fankhauser Thomas;;15;54.5;10;17.0;0;0.0;10.0
-;10;27.0;Mösching Andy;*;25;35.25;12;26.5;2;-0.5;8.75
o;15;35.75;Tschanz Richard;*;16;54.25;15;35.75;0;0.0;8.5
o;18;44.25;Gäggeler Adrian;*;16;54.25;17;44.5;-1;0.25;8.5

23a;Heiniger Michael;*;;;;;;;;;52.5
+;;;von Känel Daniel;*;;;;;;;9.75
o;2;9.75;Lauper Hansruedi;***;9;56.0;4;8.75;2;-1.0;8.5
-;7;18.25;Vonlanthen Cyril;;22;52.75;6;18.5;-1;0.25;8.75
o;10;27.0;Gobeli Patrick (1998);*;13;55.0;10;27.0;0;0.0;8.5
o;16;35.5;Fankhauser Thomas;;15;54.5;16;35.5;0;0.0;8.5
o;19;44.0;Wittwer Jan (1997);*;17;54.0;19;44.0;0;0.0;8.5

24a;Gnägi Christian;*;;;;;;;;;35.75
-;;;Zaugg Christian;*;;;;;;;8.75
+;4;8.75;Ramseier Thomas;;19;53.5;1;10.0;-3;1.25;10.0
o;5;18.75;Lengacher Jonas;**;3;57.5;5;18.75;0;0.0;8.5
o;9;27.25;Stämpfli Lorenz;;15;54.5;9;27.25;0;0.0;8.5

25a;Salzmann Simon;*;;;;;;;;;35.25
o;;;Kämpf Lorenz;*;;;;;;;8.5
+;5;8.5;Gehrig Kilian;;28;34.5;5;8.5;0;0.0;9.75
o;7;18.25;Ramseier Fritz;*;15;54.5;8;17.5;1;-0.75;8.5
o;11;26.75;Michel Jonas;*;13;55.0;12;26.5;1;-0.25;8.5

25b;Aellen Florian;;;;;;;;;;35.25
+;;;Mosimann Fabian;;;;;;;;9.75
o;2;9.75;Mathys Simon;*;12;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Roth Philipp;*;11;55.5;7;18.25;0;0.0;8.5
o;11;26.75;Schlüchter Colin (1997);*;13;55.0;11;26.75;0;0.0;8.5

25c;Scheidegger Adrian;;;;;;;;;;35.25
o;;;Kappeler Ruedi;;;;;;;;8.5
+;5;8.5;Leuenberger Marc;;22;52.75;5;8.5;0;0.0;9.75
o;7;18.25;Wittwer Josias;*;15;54.5;9;17.25;2;-1.0;8.5
o;11;26.75;Kämpf Lorenz;*;16;54.25;10;27.0;-1;0.25;8.5

25d;Heeb Thierry;;;;;;;;;;35.25
+;;;Fankhauser Thomas;;;;;;;;9.75
o;2;9.75;von Büren Stephan;*;10;55.75;4;8.75;2;-1.0;8.5
o;7;18.25;Kobel Lorenz;;18;53.75;9;17.25;2;-1.0;8.5
o;11;26.75;Urfer Simon;*;14;54.75;13;26.25;2;-0.5;8.5

25e;Mösching Andy;*;;;;;;;;;35.25
-;;;Steffen Konrad;*;;;;;;;9.0
o;3;9.0;Scheuner Michael;*;17;54.0;4;8.75;1;-0.25;8.5
-;8;17.5;Gehrig Philipp;*;16;54.25;8;17.5;0;0.0;9.0
-;12;26.5;Leuenberger Marc;;22;52.75;10;27.0;-2;0.5;8.75

25f;Stucki Daniel;;;;;;;;;;35.25
+;;;Burger Fredy;*;;;;;;;9.75
o;2;9.75;Zaugg Christian;*;18;53.75;4;8.75;2;-1.0;8.5
o;7;18.25;Aebi Roger;;18;53.75;7;18.25;0;0.0;8.5
o;11;26.75;Weyermann Michael;*;18;53.75;11;26.75;0;0.0;8.5

25g;Siegrist Silas;*;;;;;;;;;35.25
o;;;Dumelin David;*;;;;;;;8.5
o;5;8.5;Zehnder Jürg;*;11;55.5;4;8.75;-1;0.25;8.5
o;10;17.0;Grossen John;;21;53.0;9;17.25;-1;0.25;8.5
+;16;25.5;Ledermann Patrik;;30;34.0;16;25.5;0;0.0;9.75

25h;Charrière Vital;;;;;;;;;;35.25
o;;;Ramseier Thomas;;;;;;;;8.5
o;5;8.5;Pulfer Thomas;*;16;54.25;4;8.75;-1;0.25;8.5
+;10;17.0;Burger Lionel (1997);;30;34.0;10;17.0;0;0.0;9.75
o;11;26.75;Kestenholz Christian;;17;54.0;11;26.75;0;0.0;8.5

26a;Kappeler Niklaus;*;;;;;;;;;35.0
-;;;Pulfer Thomas;*;;;;;;;8.75
-;4;8.75;Gehrig Philipp;*;16;54.25;4;8.75;0;0.0;8.75
-;8;17.5;Michel Jonas;*;13;55.0;8;17.5;0;0.0;9.0
o;12;26.5;Kobel Lorenz;;18;53.75;10;27.0;-2;0.5;8.5

27a;Nägeli Daniel;;;;;;;;;;34.75
-;;;Gnägi Damian (1998);;;;;;;;8.75
o;4;8.75;Fankhauser Reto;*;14;54.75;4;8.75;0;0.0;8.5
-;9;17.25;Schüpbach Janick (1997);;27;34.75;9;17.25;0;0.0;8.75
-;14;26.0;Fink Beat;;28;34.5;15;25.75;1;-0.25;8.75

27b;Schüpbach Janick (1997);;;;;;;;;;34.75
o;;;Gobeli Patrick (1998);*;;;;;;;8.75
o;4;8.75;Zürcher Remo;*;16;54.25;4;8.75;0;0.0;8.5
-;9;17.25;Nägeli Daniel;;27;34.75;9;17.25;0;0.0;8.75
-;14;26.0;Gnägi Damian (1998);;27;34.75;14;26.0;0;0.0;8.75

27c;Gnägi Damian (1998);;;;;;;;;;34.75
-;;;Nägeli Daniel;;;;;;;;8.75
o;4;8.75;Krebs Ueli;*;22;52.75;4;8.75;0;0.0;8.5
o;9;17.25;Hofstetter Christian;*;18;53.75;9;17.25;0;0.0;8.75
-;14;26.0;Schüpbach Janick (1997);;27;34.75;14;26.0;0;0.0;8.75

27d;Steffen Konrad;*;;;;;;;;;34.75
-;;;Mösching Andy;*;;;;;;;8.75
-;4;8.75;Riesen Julian;;15;54.5;4;8.75;0;0.0;8.75
o;8;17.5;Wälchli Roger;*;12;55.25;7;18.25;-1;0.75;8.5
-;14;26.0;Blaser Jan;*;28;34.5;15;25.75;1;-0.25;8.75

28a;Blaser Jan;*;;;;;;;;;34.5
-;;;Riesen Julian;;;;;;;;8.75
o;4;8.75;Schenkel Adrian;**;10;55.75;4;8.75;0;0.0;8.5
o;9;17.25;Gäggeler Adrian;*;16;54.25;9;17.25;0;0.0;8.5
-;15;25.75;Steffen Konrad;*;27;34.75;14;26.0;-1;0.25;8.75

28b;Steffen Valentin;;;;;;;;;;34.5
-;;;Zangger Dominik (1997);;;;;;;;8.75
o;4;8.75;Bloch Dominic;**;6;56.75;5;8.5;1;-0.25;8.5
-;9;17.25;Niederhäuser Martin;;19;53.5;8;17.5;-1;0.25;8.75
o;14;26.0;Graber Bruno;**;20;53.25;14;26.0;0;0.0;8.5

28c;Fink Beat;;;;;;;;;;34.5
-;;;Vonlanthen Cyril;;;;;;;;8.75
o;4;8.75;Borcard Johann;**;17;54.0;5;8.5;1;-0.25;8.5
o;9;17.25;Meyer Reto;*;16;54.25;9;17.25;0;0.0;8.5
-;15;25.75;Nägeli Daniel;;27;34.75;14;26.0;-1;0.25;8.75

28d;Lanz Christian;*;;;;;;;;;34.5
-;;;Krebs Ueli;*;;;;;;;8.75
o;4;8.75;Schlüchter Colin (1997);*;13;55.0;5;8.5;1;-0.25;8.5
-;9;17.25;Gehrig Kilian;;28;34.5;9;17.25;0;0.0;8.75
o;14;26.0;Brunner Marcel;*;15;54.5;14;26.0;0;0.0;8.5

28e;Neukomm Thierry;;;;;;;;;;34.5
-;;;Grossen John;;;;;;;;8.75
o;4;8.75;Tschanz Richard;*;16;54.25;5;8.5;1;-0.25;8.75
o;8;17.5;Camenzind Ivan;;21;53.0;9;17.25;1;-0.25;8.5
o;14;26.0;Zbinden Reto;*;15;54.5;14;26.0;0;0.0;8.5

28f;Gehrig Kilian;;;;;;;;;;34.5
o;;;Stämpfli Lorenz;;;;;;;;8.5
o;5;8.5;Salzmann Simon;*;25;35.25;5;8.5;0;0.0;8.75
-;9;17.25;Lanz Christian;*;28;34.5;9;17.25;0;0.0;8.75
o;14;26.0;Zangger Dominik (1997);;21;53.0;14;26.0;0;0.0;8.5

29a;Habegger Jürg;*;;;;;;;;;34.25
-;;;Zbinden Reto;*;;;;;;;8.75
o;4;8.75;Schütz Urs;**;11;55.5;4;8.75;0;0.0;8.5
o;9;17.25;Walther Marcel;;18;53.75;9;17.25;0;0.0;8.5
o;15;25.75;Niederhäuser Martin;;19;53.5;13;26.25;-2;0.5;8.5

30a;Burger Lionel (1997);;;;;;;;;;34.0
o;;;Iseli Marco (1997);;;;;;;;8.5
o;5;8.5;Steffen Gustav;*;15;54.5;5;8.5;0;0.0;8.5
o;10;17.0;Charrière Vital;;25;35.25;10;17.0;0;0.0;8.5
o;16;25.5;Fankhauser Thomas;;15;54.5;16;25.5;0;0.0;8.5

30b;von Känel Daniel;*;;;;;;;;;34.0
o;;;Heiniger Michael;*;;;;;;;8.5
o;5;8.5;Moser Michael;*;8;56.25;4;8.75;-1;0.25;8.5
o;10;17.0;Burger Fredy;*;17;54.0;10;17.0;0;0.0;8.5
o;16;25.5;Zürcher Kurt;*;16;54.25;16;25.5;0;0.0;8.5

30c;Ledermann Patrik;;;;;;;;;;34.0
o;;;Reichen Stefan;;;;;;;;8.5
o;5;8.5;Berger Lorenz (1997);;22;52.75;5;8.5;0;0.0;8.5
o;10;17.0;Fankhauser Hans-Jakob;*;17;54.0;10;17.0;0;0.0;8.5
o;16;25.5;Siegrist Silas;*;25;35.25;16;25.5;0;0.0;8.5

31a;Freitag Jan;;;;;;;;;;18.25
+;;;Fankhauser Thomas;;;;;;;;9.75
o;2;9.75;Wälti Christoph;**;19;53.5;4;8.75;2;-1.0;8.5

32a;Wittwer René;*;;;;;;;;;17.25
-;;;Scheuner Michael;*;;;;;;;8.75
o;4;8.75;Gerber Fritz;;22;52.75;4;8.75;0;0.0;8.5

