4485-2019-07-14_Rigi_Schwinget-ST

1a;von Ah Benji;***;;;;;;;;;58.0
o;2;9.75;Suppiger René;***;9;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Battaglia Ursin;**;28;34.25;11;17.25;4;-1.0;10.0
o;5;28.25;Waser Dominik;**;5;56.5;5;28.25;0;0.0;8.75
+;8;37.0;Kurmann Toni;*;11;54.75;8;37.0;0;0.0;10.0
o;5;47.0;Schurtenberger Sven;***;2;57.25;4;47.25;-1;0.25;8.5

9e;Hügli Kaj;**;;;;;;;;;55.5
o;;;Reichmuth Marco;**;;;;;;;8.5
o;5;8.5;Gwerder Christian;**;18;53.0;4;8.75;-1;0.25;8.5
-;12;17.0;Heinzer Stefan;**;12;54.5;10;17.5;-2;0.5;8.75
+;15;25.75;Schmid Patrick;*;28;34.25;15;25.75;0;0.0;9.75
+;14;35.5;Blaser Theo;*;19;52.75;14;35.5;0;0.0;10.0
+;11;45.5;Arnold Stefan;**;17;53.25;13;44.75;2;-0.75;10.0

9f;Hauri Urs;**;;;;;;;;;55.5
o;;;Nietlispach Pascal;**;;;;;;;8.5
+;5;8.5;Kennel Beat;*;19;52.75;3;9.0;-2;0.5;10.0
o;6;18.5;Gloggner Philipp;***;11;54.75;11;17.25;5;-1.25;8.5
-;10;27.0;Murer Andy;**;11;54.75;9;27.25;-1;0.25;8.75
+;13;35.75;Heinzer Stefan;**;12;54.5;12;36.0;-1;0.25;9.75
+;11;45.5;Odermatt Christian;**;18;53.0;14;44.5;3;-1.0;10.0

9g;Kropf Marcel;**;;;;;;;;;55.5
o;;;Steinauer Adrian;**;;;;;;;8.5
o;5;8.5;Ettlin Stefan;**;10;55.0;3;9.0;-2;0.5;8.5
+;12;17.0;Lang Sven;**;23;35.5;7;18.25;-5;1.25;10.0
o;10;27.0;Gloggner Philipp;***;11;54.75;9;27.25;-1;0.25;8.5
+;14;35.5;Bürli Roger;**;13;54.25;13;35.75;-1;0.25;10.0
+;11;45.5;Höfliger Andreas;**;15;53.75;12;45.25;1;-0.25;10.0

10a;Erb Roger;**;;;;;;;;;55.0
o;;;Gwerder Dario;**;;;;;;;8.5
+;5;8.5;Odermatt Andreas;*;12;54.5;4;8.75;-1;0.25;9.75
+;7;18.25;Odermatt Christian;**;18;53.0;7;18.25;0;0.0;10.0
+;5;28.25;Steinauer Adrian;**;18;53.0;8;27.5;3;-0.75;9.75
o;5;38.0;Suppiger René;***;9;55.5;8;37.0;3;-1.0;8.5
o;7;46.5;Zimmermann Martin;**;5;56.5;7;46.5;0;0.0;8.5

