3050-2016-06-12_Fete_Romande2-ST

1a;Stucki Christian;***;;;;;;;;;58.75
o;12;17.0;Z'Rotz Elias (2000);;15;54.0;12;17.0;0;0.0;8.5
o;12;25.5;Reichenbach Ryan (1999);;19;52.5;12;25.5;0;0.0;8.5
o;16;34.0;Zingrich Jan (1999);;16;53.75;15;35.25;-1;1.25;8.5
o;20;42.5;Roux Dimitri;;17;53.5;19;43.75;-1;1.25;8.5

20c;Goy Sébastien;;;;;;;;;;51.0
o;;;Rappo Yann (1998);;;;;;;;8.5
o;5;8.5;Schafer Damien;;9;55.5;5;8.5;0;0.0;8.5
o;12;17.0;Dubey Gaël;;9;55.5;10;17.5;-2;0.5;8.5
o;12;25.5;Joliat Léo (1999);;16;53.75;12;25.5;0;0.0;8.5
o;16;34.0;Grossenbacher Marc (2000);;16;53.75;15;35.25;-1;1.25;8.5
o;20;42.5;Quiot Didier;;23;45.25;13;45.25;-7;2.75;8.5

20d;François Théo (2000);;;;;;;;;;51.0
o;;;Ruch Florian;;;;;;;;8.5
o;5;8.5;Brodard Simon;**;7;56.0;4;8.75;-1;0.25;8.5
o;12;17.0;Golliard Steve;;23;45.25;7;18.25;-5;1.25;8.5
o;12;25.5;Curty Alexandre;;15;54.0;12;25.5;0;0.0;8.5
o;16;34.0;Parvex Bryan;;16;53.75;15;35.25;-1;1.25;8.5
o;20;42.5;Z'Rotz Elias (2000);;15;54.0;18;44.0;-2;1.5;8.5

21a;Torche Bastian;;;;;;;;;;46.75
+;;;Gauch Thierry;;;;;;;;10.0
+;1;10.0;Michaud Steeve (1999);;19;52.5;1;10.0;0;0.0;9.75
o;2;19.75;Ducry Antoine;*;8;55.75;5;18.75;3;-1.0;8.5
o;4;28.25;Schöpfer Dio;;4;56.75;4;28.25;0;0.0;8.5
+;9;36.75;Zingrich Jan (1999);;16;53.75;15;35.25;6;-1.5;10.0

22a;Barras André;*;;;;;;;;;45.75
-;;;Dufey Gil;;;;;;;;8.75
o;4;8.75;Droxler Jonathan;*;4;56.75;5;8.5;1;-0.25;8.5
+;11;17.25;Germanier Joel (2000);;15;54.0;6;18.5;-5;1.25;10.0
+;7;27.25;Heiniger Mickaël;;12;54.75;5;28.0;-2;0.75;10.0
o;7;37.25;Cardinaux Victor;*;5;56.5;4;38.0;-3;0.75;8.5

23a;Barras François (1998);;;;;;;;;;45.25
+;;;Isoz Bertrand;;;;;;;;9.75
+;2;9.75;Cottier Marco (2000);;18;52.75;2;9.75;0;0.0;10.0
o;2;19.75;Roch Vincent;*;4;56.75;5;18.75;3;-1.0;8.5
o;4;28.25;Overney Olivier;*;14;54.25;7;27.25;3;-1.0;8.5
o;9;36.75;Hayoz Quentin;;8;55.75;8;37.0;-1;0.25;8.5

23b;Golliard Steve;;;;;;;;;;45.25
+;;;Vonlanthen Marc;;;;;;;;9.75
o;2;9.75;Kramer Lario (1998);*;5;56.5;2;9.75;0;0.0;8.5
+;7;18.25;François Théo (2000);;20;51.0;12;17.0;5;-1.25;10.0
o;4;28.25;Brodard Augustin;**;9;55.5;8;27.0;4;-1.25;8.5
o;9;36.75;Emonet Fabien;;4;56.75;9;36.75;0;0.0;8.5

23c;Buchs Julien (1999);;;;;;;;;;45.25
+;;;Joliat Léo (1999);;;;;;;;10.0
o;1;10.0;Rüegg Patrick (1999);;11;55.0;2;9.75;1;-0.25;8.5
o;6;18.5;Vieux Sylvain;*;11;55.0;12;17.0;6;-1.5;8.5
o;8;27.0;Berset Julien;*;12;54.75;6;27.5;-2;0.5;8.5
+;14;35.5;Isoz Bertrand;;14;54.25;8;37.0;-6;1.5;9.75

23d;Quiot Didier;;;;;;;;;;45.25
+;;;Blanchette Nicolas;;;;;;;;9.75
o;2;9.75;Derron Julien;;8;55.75;1;10.0;-1;0.25;8.5
o;7;18.25;Crettaz Olivier;;11;55.0;7;18.25;0;0.0;8.5
o;9;26.75;Vieux Sylvain;*;11;55.0;9;26.75;0;0.0;8.5
+;15;35.25;Goy Sébastien;;20;51.0;16;34.0;1;-1.25;10.0

24a;Zimmermann Mario;*;;;;;;;;;44.75
-;;;Ducry Antoine;*;;;;;;;8.75
-;4;8.75;Lerch Jimmy;*;8;55.75;5;8.5;1;-0.25;8.75
-;10;17.5;Minder Florian;;25;44.5;7;18.25;-3;0.75;9.0
+;10;26.5;Pharisa Loic;;15;54.0;4;28.25;-6;1.75;9.75
o;11;36.25;Schöpfer Dio;;4;56.75;9;36.75;-2;0.5;8.5

25a;Minder Florian;;;;;;;;;;44.5
+;;;Schafer Damien;;;;;;;;9.75
o;2;9.75;Chèvre Bernard;*;11;55.0;5;8.5;3;-1.25;8.5
-;7;18.25;Zimmermann Mario;*;24;44.75;10;17.5;3;-0.75;9.0
o;7;27.25;Emonet Frédéric;*;9;55.5;3;28.5;-4;1.25;8.5
-;13;35.75;Jacquier Pascal;;12;54.75;12;36.0;-1;0.25;8.75

26a;Daves Alexis;;;;;;;;;;44.0
o;;;Pittet Guillaume;;;;;;;;8.5
o;5;8.5;Parvex Bryan;;16;53.75;5;8.5;0;0.0;8.5
+;12;17.0;Buchs Remo (1999);;19;52.5;12;17.0;0;0.0;10.0
o;8;27.0;Dubey Gaël;;9;55.5;7;27.25;-1;0.25;8.5
o;14;35.5;Vonlanthen Marc;;15;54.0;14;35.5;0;0.0;8.5

27a;Giroud Jonathan;**;;;;;;;;;36.0
o;;;Emonet Frédéric;*;;;;;;;8.5
+;5;8.5;Emonet Fabien;;4;56.75;2;9.75;-3;1.25;10.0
-;6;18.5;Zosso Remo;**;9;55.5;6;18.5;0;0.0;8.75
-;7;27.25;Loup Grégoire (2000);;12;54.75;3;28.5;-4;1.25;8.75

28a;Burgy Frank;;;;;;;;;;35.75
o;;;Schöpfer Dio;;;;;;;;8.5
o;5;8.5;Bersier Jean-Jacques;;9;55.5;4;8.75;-1;0.25;8.5
+;12;17.0;Curty Alexandre;;15;54.0;12;17.0;0;0.0;9.75
-;9;26.75;Portmann Fabio (1998);;28;35.75;9;26.75;0;0.0;9.0

28b;Portmann Fabio (1998);;;;;;;;;;35.75
-;;;Ambresin Cyril (1999);;;;;;;;9.0
-;3;9.0;Steiner Pirmin (1998);;14;54.25;1;10.0;-2;1.0;9.0
-;8;18.0;Dufey Gil;;13;54.5;9;17.75;1;-0.25;8.75
-;9;26.75;Burgy Frank;;28;35.75;9;26.75;0;0.0;9.0

29a;Dormond Noa;;;;;;;;;;35.5
o;;;Maridor Loic;;;;;;;;8.5
+;5;8.5;Curty Alexandre;;15;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Riedo Fredy;;9;55.5;6;18.5;0;0.0;8.5
o;8;27.0;Lützelschwab Luc (1999);;9;55.5;8;27.0;0;0.0;8.5

30a;Liaudat Rudy;**;;;;;;;;;8.75
-;;;Schafer Claudio;*;;;;;;;8.75

31a;Kropf Rolf;**;;;;;;;;;8.5
o;;;Haenni Stéphane;**;;;;;;;8.5

