4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
o;9;18.25;Wyrsch Silvio;*;18;54.5;13;17.0;4;-1.25;8.5
o;15;26.75;Waser David (2002);;22;53.5;15;26.75;0;0.0;8.5

33n;Johann Michael (2001);;;;;;;;;;35.25
+;;;Birrer David (2002);;;;;;;;9.75
o;4;9.75;Lang Julian;;14;55.5;4;9.75;0;0.0;8.5
o;9;18.25;Gut Koni;;13;55.75;8;18.5;-1;0.25;8.5
o;15;26.75;Ming Christian 2;;14;55.5;14;27.0;-1;0.25;8.5

33o;Vogel Ivo (2001);;;;;;;;;;35.25
o;;;Broch Marcel (2002);;;;;;;;8.5
+;7;8.5;Schumacher Marco (2000);;36;34.25;7;8.5;0;0.0;9.75
o;9;18.25;Gisler Stefan;;16;55.0;10;17.75;1;-0.5;8.5
o;15;26.75;Bussmann Martin;;21;53.75;14;27.0;-1;0.25;8.5

34a;Felder Dominik (2001);;;;;;;;;;34.75
o;;;Egli Christian (2000);;;;;;;;8.5
o;7;8.5;Lischer Daniel;;33;35.25;7;8.5;0;0.0;8.75
-;12;17.25;Birrer David (2002);;36;34.25;13;17.0;1;-0.25;8.75
-;18;26.0;Schumacher Marco (2000);;36;34.25;20;25.5;2;-0.5;8.75

34b;Fässler Dominic;**;;;;;;;;;34.75
o;;;Hofmann Florian;**;;;;;;;8.75
o;6;8.75;Fessler Linus;**;16;55.0;6;8.75;0;0.0;8.5
-;12;17.25;Zanini David (2000);;19;54.25;8;18.5;-4;1.25;8.75
o;18;26.0;Odermatt Andreas;;20;54.0;13;27.25;-5;1.25;8.75

34c;Krummenacher Roman;;;;;;;;;;34.75
-;;;Klauser Nico;;;;;;;;8.75
o;6;8.75;Müller Mathias;;32;35.5;6;8.75;0;0.0;8.5
o;12;17.25;Weber Roman;;24;53.0;12;17.25;0;0.0;8.75
o;18;26.0;Achermann Christian (2002);;15;55.25;14;27.0;-4;1.0;8.75

35a;Schmid Joel;;;;;;;;;;34.5
-;;;Häller Nick (2002);;;;;;;;8.75
o;6;8.75;Durrer Ueli;;18;54.5;7;8.5;1;-0.25;8.5
o;12;17.25;Egli Adrian (2002);;20;54.0;13;17.0;1;-0.25;8.5
-;19;25.75;Rust Sandro;;19;54.25;18;26.0;-1;0.25;8.75

36a;Schumacher Marco (2000);;;;;;;;;;34.25
o;;;Scherrer Fabian (2002);;;;;;;;8.5
o;7;8.5;Vogel Ivo (2001);;33;35.25;7;8.5;0;0.0;8.5
o;13;17.0;Kunz Gian Luca (2001);;32;35.5;13;17.0;0;0.0;8.5
-;20;25.5;Felder Dominik (2001);;34;34.75;18;26.0;-2;0.5;8.75

36b;Birrer David (2002);;;;;;;;;;34.25
o;;;Johann Michael (2001);;;;;;;;8.5
o;7;8.5;Achermann Christian (2002);;15;55.25;3;10.0;-4;1.5;8.5
-;13;17.0;Felder Dominik (2001);;34;34.75;12;17.25;-1;0.25;8.75
o;19;25.75;Hodel Martin;;18;54.5;18;26.0;-1;0.25;8.5

36c;Elmiger Elias (2001);;;;;;;;;;34.25
o;;;Marti Philipp (2002);;;;;;;;8.5
o;7;8.5;Vogel Manuel;;18;54.5;7;8.5;0;0.0;8.5
o;13;17.0;Fischer Markus (2000);;20;54.0;8;18.5;-5;1.5;8.75
o;19;25.75;Achermann Patrick (2000);;33;35.25;20;25.5;1;-0.25;8.5

37a;Arnold Adrian (2001);;;;;;;;;;34.0
o;;;Wicki David (2002);;;;;;;;8.5
o;7;8.5;Zgraggen Peter;;16;55.0;7;8.5;0;0.0;8.5
o;13;17.0;von Rickenbach Pirmin (2002);;24;53.0;12;17.25;-1;0.25;8.5
o;20;25.5;Riedi Rafael (2002);;32;35.5;20;25.5;0;0.0;8.5

37b;Egli Samuel;;;;;;;;;;34.0
o;;;Portmann Fabian;;;;;;;;8.5
o;7;8.5;Huser Christian (2000);;16;55.0;7;8.5;0;0.0;8.5
o;13;17.0;Hurschler Adrian;;18;54.5;12;17.25;-1;0.25;8.5
o;20;25.5;Krummenacher Fabian;;32;35.5;19;25.75;-1;0.25;8.5

37c;Limacher Luca (2002);;;;;;;;;;34.0
o;;;Ettlin Kevin (2001);;;;;;;;8.5
o;7;8.5;Rohrer Timo (2001);;22;53.5;7;8.5;0;0.0;8.5
o;13;17.0;Burri Timo (2001);;33;35.25;13;17.0;0;0.0;8.5
o;20;25.5;Blattmann Philipp (2000);;24;53.0;18;26.0;-2;0.5;8.5

37d;Hodel Iwan (2002);;;;;;;;;;34.0
o;;;Burri Ueli;;;;;;;;8.5
o;7;8.5;Spichtig Aldo;;17;54.75;7;8.5;0;0.0;8.5
o;13;17.0;Grüter Marcel;;19;54.25;11;17.5;-2;0.5;8.5
o;20;25.5;Gloggner André (2001);;25;52.75;19;25.75;-1;0.25;8.5

37e;Bühler Ramon (2002);;;;;;;;;;34.0
o;;;Bieri Elias;;;;;;;;8.5
o;7;8.5;Bucheli Dario (2001);;19;54.25;6;8.75;-1;0.25;8.5
o;13;17.0;Hodel Michael (2000);;19;54.25;12;17.25;-1;0.25;8.5
o;20;25.5;Füglister Florian (2002);;33;35.25;20;25.5;0;0.0;8.5

37f;Leisibach Gian (2002);;;;;;;;;;34.0
o;;;Bühler Kilian (2000);;;;;;;;8.5
o;7;8.5;Gloggner Elias (2002);;32;35.5;7;8.5;0;0.0;8.5
o;13;17.0;Zimmermann Raffael (2000);;18;54.5;12;17.25;-1;0.25;8.5
o;20;25.5;Hurni Florian (2002);;32;35.5;20;25.5;0;0.0;8.5

37g;Rust Silvio (2001);;;;;;;;;;34.0
o;;;Amrein Lukas;;;;;;;;8.5
o;7;8.5;Häller Nick (2002);;32;35.5;6;8.75;-1;0.25;8.5
o;13;17.0;Giger Janik (2002);;14;55.5;13;17.0;0;0.0;8.5
o;20;25.5;Troxler Silvan (2002);;32;35.5;20;25.5;0;0.0;8.5

37h;Schumacher Ramon (2002);;;;;;;;;;34.0
o;;;Egli Matthias (2001);;;;;;;;8.5
o;7;8.5;Marti Pirmin (2001);;33;35.25;7;8.5;0;0.0;8.5
o;13;17.0;Kottmann Jonas (2000);;21;53.75;13;17.0;0;0.0;8.5
o;20;25.5;Achermann Ueli (2001);;32;35.5;19;25.75;-1;0.25;8.5

38a;Bürgler Lukas;*;;;;;;;;;26.75
o;;;Widmer Adrian;*;;;;;;;8.5
o;7;8.5;Stöckli Damian;;8;57.0;3;10.0;-4;1.5;8.5
+;13;17.0;Egli Christian (2000);;20;54.0;9;18.25;-4;1.25;9.75

39a;Fischer Maurus (2001);;;;;;;;;;25.75
-;;;Zanini David (2000);;;;;;;;8.75
o;6;8.75;Stutzer Michael;;32;35.5;7;8.5;1;-0.25;8.5
o;12;17.25;Suter Raphael (2000);;20;54.0;11;17.5;-1;0.25;8.5

40a;Meier Andreas;;;;;;;;;;17.5
-;;;Grüter Marcel;;;;;;;;9.0
o;5;9.0;Amrein Thomas;;22;53.5;6;8.75;1;-0.25;8.5

40b;Herger Lukas;*;;;;;;;;;17.5
-;;;Schmid Simon (2000);*;;;;;;;8.75
o;6;8.75;Ulrich Livio;;18;54.5;3;10.0;-3;1.25;8.75

41a;Ulrich Marco;*;;;;;;;;;17.0
o;;;Thierstein Marco;*;;;;;;;8.5
o;7;8.5;Wicki David;;18;54.5;3;10.0;-4;1.5;8.5

42a;Schöpfer Ronny;*;;;;;;;;;9.0
-;;;Keller Janik;*;;;;;;;9.0

43a;Suppiger René;***;;;;;;;;;8.75
-;;;Arnold Stefan;**;;;;;;;8.75

44a;Mathis Marcel;***;;;;;;;;;8.5
o;;;Schurtenberger Sven;***;;;;;;;8.5

