4114-2018-05-27_99_Luzerner_Kant_Schwingfest-ST

1a;Fankhauser Reto;**;;;;;;;;;111.25
+;9;18.25;Bucheli Dario (2001);;19;54.25;7;18.75;-2;0.5;10.0
-;9;28.25;Zurﬂuh Roman;**;10;56.5;7;28.75;-2;0.5;9.0
+;11;37.25;Wicki David;;18;54.5;10;37.5;-1;0.25;9.75
-;10;47.0;Felder Seppi;*;13;55.75;11;46.75;1;-0.25;9.0

12g;Zürcher Ueli (2000);;;;;;;;;;56.0
+;;;Wicki Patrick;;;;;;;;10.0
+;3;10.0;Gemsch Stefan;;33;35.25;4;9.75;1;-0.25;10.0
o;3;20.0;Linggi Bruno;**;10;56.5;7;18.75;4;-1.25;8.5
o;8;28.5;Blaser Roman;*;12;56.0;10;28.0;2;-0.5;8.5
+;12;37.0;Troxler Jonas (2000);;14;55.5;12;37.0;0;0.0;10.0
-;10;47.0;Rohrer Ueli;*;11;56.25;9;47.25;-1;0.25;9.0

12h;Baumann Roger;*;;;;;;;;;56.0
+;;;Schnider Markus;*;;;;;;;10.0
-;3;10.0;Fankhauser Reto;**;1;111.25;1;18.75;-2;8.75;9.0
+;6;19.0;Ulrich Livio;;18;54.5;4;19.75;-2;0.75;9.75
o;7;28.75;Schurtenberger Sven;***;4;58.25;4;29.75;-3;1.0;8.5
+;11;37.25;Fischer Markus (2000);;20;54.0;12;37.0;1;-0.25;10.0
o;9;47.25;Ambühl Joel;*;8;57.0;9;47.25;0;0.0;8.75

12i;Graber Michael;*;;;;;;;;;56.0
-;;;Gwerder Michael (2000);*;;;;;;;8.75
o;6;8.75;Arnold Stefan;**;8;57.0;6;8.75;0;0.0;8.5
+;12;17.25;Stutzer Michael;;32;35.5;9;18.25;-3;1.0;10.0
+;13;27.25;Zumstein Patrick;;27;46.75;9;28.25;-4;1.0;10.0
o;11;37.25;Arnold Fabian;*;11;56.25;13;36.75;2;-0.5;8.75
+;14;46.0;Fallegger Joel;;18;54.5;14;46.0;0;0.0;10.0

12j;Bättig Martin;*;;;;;;;;;56.0
+;;;Amgarten Roman;*;;;;;;;10.0
o;3;10.0;Schelbert Ralf;**;7;57.25;3;10.0;0;0.0;8.5
+;8;18.5;Schuler Koni;;20;54.0;3;20.0;-5;1.5;10.0
-;8;28.5;Wyrsch Marco;**;8;57.0;8;28.5;0;0.0;8.75
+;11;37.25;Ulrich Livio;;18;54.5;11;37.25;0;0.0;9.75
-;10;47.0;Schürpf Bruno;*;12;56.0;10;47.0;0;0.0;9.0

12k;Zimmermann Simon;**;;;;;;;;;56.0
-;;;Felder Seppi;*;;;;;;;8.75
