1865-2015-06-14_Stoos-Schwinget-ST

1a;Laimbacher Philipp;***;;;;;;;;;58.5
-;13;45.5;Kempf Elias;**;17;54.0;14;45.25;1;-0.25;8.75

16b;Villiger Cyrill;*;;;;;;;;;54.25
+;;;Scherer Christian;*;;;;;;;10.0
o;1;10.0;Stalder Remo;***;16;54.25;3;9.0;2;-1.0;8.5
-;6;18.5;Kuster Marcel;**;16;54.25;6;18.5;0;0.0;8.75
-;9;27.25;Orlik Curdin;**;15;54.5;8;27.5;-1;0.25;8.75
+;13;36.0;Notz Beni;***;18;53.5;13;36.0;0;0.0;9.75
o;12;45.75;Bieri Marcel;**;11;55.5;13;45.5;1;-0.25;8.5

16c;Hersche Martin;**;;;;;;;;;54.25
o;;;Ulrich Florian;*;;;;;;;8.5
-;5;8.5;Heinzer Stefan;*;19;53.25;4;8.75;-1;0.25;8.75
+;10;17.25;Suter David;**;22;35.5;10;17.25;0;0.0;10.0
o;9;27.25;Fankhauser Reto;**;11;55.5;9;27.25;0;0.0;8.5
-;14;35.75;Betschart Rainer;**;15;54.5;13;36.0;-1;0.25;8.75
+;17;44.5;Zimmermann Daniel;*;21;52.75;18;44.25;1;-0.25;9.75

16d;Schuler Philipp;**;;;;;;;;;54.25
o;;;Stoffel Marc;**;;;;;;;8.5
-;5;8.5;Bühler Ernst;**;25;34.75;4;8.75;-1;0.25;8.75
o;10;17.25;Nägeli Marco;*;16;54.25;9;17.5;-1;0.25;8.5
+;15;25.75;Roth Martin;*;26;34.5;15;25.75;0;0.0;10.0
+;14;35.75;Kocher Remo;**;16;54.25;14;35.75;0;0.0;10.0
o;12;45.75;Fankhauser Reto;**;11;55.5;12;45.75;0;0.0;8.5

16e;Kocher Remo;**;;;;;;;;;54.25
o;;;Schelbert Ralf;*;;;;;;;8.75
o;4;8.75;Suppiger Werner;**;18;53.5;5;8.5;1;-0.25;8.5
+;10;17.25;Föhn Pirmin;*;25;34.75;9;17.5;-1;0.25;9.75
-;10;27.0;Betschart Remo;**;14;54.75;9;27.25;-1;0.25;8.75
o;14;35.75;Schuler Philipp;**;16;54.25;14;35.75;0;0.0;8.5
+;18;44.25;Hess Michael;*;20;53.0;17;44.5;-1;0.25;10.0

16f;Nägeli Marco;*;;;;;;;;;54.25
-;;;Gwerder Carlo;**;;;;;;;9.0
o;3;9.0;Gassmann Fabian;**;29;27.0;5;8.5;2;-0.5;8.5
+;9;17.5;Schuler Philipp;**;16;54.25;10;17.25;1;-0.25;9.75
o;9;27.25;Nötzli Bruno;***;12;55.25;10;27.0;1;-0.25;8.5
+;14;35.75;Zimmermann Daniel;*;21;52.75;14;35.75;0;0.0;10.0
o;12;45.75;Schuler Alex;**;10;55.75;12;45.75;0;0.0;8.5

16g;Stüdeli Thomas;**;;;;;;;;;54.25
-;;;Schuler Alex;**;;;;;;;8.75
o;4;8.75;Betschart Remo;**;14;54.75;3;9.0;-1;0.25;8.5
o;10;17.25;Suppiger Werner;**;18;53.5;7;18.25;-3;1.0;8.5
+;15;25.75;Lüönd Andreas;**;26;34.5;14;26.0;-1;0.25;10.0
-;14;35.75;Bättig Martin;*;18;53.5;13;36.0;-1;0.25;8.75
+;17;44.5;Forster Adrian;**;21;52.75;18;44.25;1;-0.25;9.75

16h;Leuppi Samir;**;;;;;;;;;54.25
+;;;Zurfluh Markus;**;;;;;;;10.0
o;1;10.0;Laimbacher Philipp;***;1;58.5;4;8.75;3;-1.25;8.5
-;6;18.5;Nötzli Bruno;***;12;55.25;7;18.25;1;-0.25;8.75
+;9;27.25;Graber Michael;*;23;35.25;11;26.75;2;-0.5;10.0
o;8;37.25;Schurtenberger Sven;**;4;57.25;8;37.25;0;0.0;8.5
o;12;45.75;Odermatt Sepp;**;12;55.25;13;45.5;1;-0.25;8.5

16i;Stalder Remo;***;;;;;;;;;54.25
-;;;Gloggner Philipp;***;;;;;;;9.0
+;3;9.0;Villiger Cyrill;*;16;54.25;1;10.0;-2;1.0;9.75
+;5;18.75;Schelbert Ralf;*;11;55.5;5;18.75;0;0.0;10.0
o;3;28.75;von Ah Benji;***;3;57.5;4;28.5;1;-0.25;8.5
o;8;37.25;Murer Andy;*;11;55.5;9;37.0;1;-0.25;8.5
o;12;45.75;Nötzli Bruno;***;12;55.25;14;45.25;2;-0.5;8.5

17a;Kempf Elias;**;;;;;;;;;54.0
+;;;Räbmatter Patrick;**;;;;;;;9.75
-;2;9.75;Notz Beni;***;18;53.5;5;8.5;3;-1.25;8.75
o;6;18.5;Studinger Stephan;**;12;55.25;7;18.25;1;-0.25;8.5
